instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsThatFoundConflict,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberPropagationsThatPruned,circuitNumberPropagationsTotal,allDifferentNumberTotalHallSetSize,allDifferentNumberNumberOfConflicts,allDifferentNumberMaxHallSetSize,allDifferentNumberPropagationsTotal,allDifferentNumberPropagationsThatFoundConflict,type,best_sol
pumpkin-v1/random/n150_p015/instance_n150_p0.150_0014.fzn,experiments/20260612-11.47.15.104167-pumpkin-v1/7,OPTIMAL,75,22.72,20.02,5048,2258365,19.337683448,374757,3267,0,5048,9.905309033280506,15.498415213946117,9.080824088748018,1,1924,277463,1924,28636,10725772,746115,252927,8360,12650278,252927,minimize,79533
pumpkin-v1/random/n150_p015/instance_n150_p0.150_0009.fzn,experiments/20260612-11.47.15.104167-pumpkin-v1/19,OPTIMAL,119,30.71,26.560000000000002,7962,3435750,25.759967257,499202,3327,0,7962,17.424390856568703,34.502009545340364,21.982165285104244,1,12535,1818539,12535,114034,21732704,2733611,578135,13365,25832778,578135,minimize,85576
pumpkin-v1/random/n150_p015/instance_n150_p0.150_0000.fzn,experiments/20260612-11.47.15.104167-pumpkin-v1/12,OPTIMAL,148,35.23,28.51,10018,3996638,27.613838144,559624,3402,0,10018,19.48093431822719,65.65681772808944,45.89638650429227,1,15549,2244910,15549,169875,30629745,6911864,822358,22350,36444077,822358,minimize,83055
pumpkin-v1/random/n150_p015/instance_n150_p0.150_0013.fzn,experiments/20260612-11.47.15.104167-pumpkin-v1/17,OPTIMAL,146,38.61,31.36,17571,4054698,30.181816292,576109,3359,9,17571,35.500711399465025,60.62819418359798,49.13505207444084,1,23783,3377889,23783,162884,29617066,31939239,1937458,20442,37095138,1937458,minimize,84950
pumpkin-v1/random/n150_p015/instance_n150_p0.150_0017.fzn,experiments/20260612-11.47.15.104167-pumpkin-v1/4,OPTIMAL,143,59.51,56.589999999999996,35837,10334647,55.627570944,594028,3310,2,35837,40.11753215949996,159.32349247983927,63.04375366241594,1,22103,3130172,22103,193539,26930836,5103906,805788,21456,31744592,805788,minimize,84761
pumpkin-v1/random/n150_p015/instance_n150_p0.150_0002.fzn,experiments/20260612-11.47.15.104167-pumpkin-v1/11,OPTIMAL,119,28.17,23.849999999999998,7342,3333670,23.097243169,494148,3360,0,7342,15.240670117134297,27.292835739580497,20.510351402887498,1,10118,1470154,10118,213587,21554813,3414633,602519,18000,25791315,602519,minimize,81438
pumpkin-v1/random/n150_p015/instance_n150_p0.150_0010.fzn,experiments/20260612-11.47.15.104167-pumpkin-v1/14,OPTIMAL,143,78.65,71.73,52349,10789858,70.756592515,565472,3405,0,52349,38.69926837188867,155.34441918661292,77.34703623755945,1,68839,9240808,68839,580448,26834418,23451700,1582867,21312,32673406,1582867,minimize,85172
pumpkin-v1/random/n150_p015/instance_n150_p0.150_0006.fzn,experiments/20260612-11.47.15.104167-pumpkin-v1/8,SATISFIABLE,136,300.0,300.0,7540,3631866,24.294711235,516691,3363,0,7540,13.184482758620689,31.703315649867374,22.3657824933687,0,11732,1691206,11732,145259,22177506,2548899,610346,14831,25415037,610346,minimize,81063
pumpkin-v1/random/n150_p015/instance_n150_p0.150_0003.fzn,experiments/20260612-11.47.15.104167-pumpkin-v1/1,OPTIMAL,188,55.73,50.64,30780,7223430,49.376882517,660559,3314,7,30780,34.74100064977258,159.66640675763483,116.8864522417154,1,38650,5561468,38650,717192,41685963,42174373,2260750,26514,50760074,2260750,minimize,82132
pumpkin-v1/random/n150_p015/instance_n150_p0.150_0012.fzn,experiments/20260612-11.47.15.104167-pumpkin-v1/20,SATISFIABLE,182,300.64,295.28000000000003,165719,26365539,295.024536396,803680,3304,16,165719,37.200833941793036,346.0284457424918,273.98641073141886,0,320632,45497666,320632,1448411,49645728,61012236,4047655,26718,64660440,4047655,minimize,85373
