propagator_variant,config_n,config_k,instance,avg_hall_set_size,alldiff_conflict_detection_rate_v1
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0009.fzn,4.415094339622642,0.10667561221066756
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0021.fzn,4.424312166544618,0.19921638913781964
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0003.fzn,5.844110450891296,0.15958277554663097
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0000.fzn,3.1704035874439462,0.10550861777627576
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0007.fzn,4.049513212795549,0.126964506445347
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0011.fzn,3.317327766179541,0.13018073107759207
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0015.fzn,3.2653399668325043,0.09145601617795754
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0001.fzn,3.409221033599518,0.1418708050104741
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0010.fzn,5.010789602746445,0.129649647103707
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0025.fzn,4.710645615132093,0.15162001374700765
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0020.fzn,5.534188960289415,0.16933360992556723
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0016.fzn,5.201393497013935,0.12625670241286863
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0014.fzn,4.299183673469388,0.15095967220185466
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0028.fzn,5.199268224036026,0.13414634146341464
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0024.fzn,9.298706865756948,0.21967794588486408
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0004.fzn,5.977309344790548,0.19050054991431567
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0013.fzn,3.450110514682665,0.172706203135651
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0002.fzn,2.933562428407789,0.1105518092886314
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0017.fzn,3.680506329113924,0.10908588787627727
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0019.fzn,7.853740326741186,0.22513889695491415
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0012.fzn,4.08073817762399,0.12237984331992378
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0022.fzn,8.066589557171183,0.1823495736539215
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0026.fzn,3.3591595535128036,0.0942450495049505
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0006.fzn,16.841748768472907,0.20808507912101992
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0029.fzn,2.0591497227356745,0.07545327754532775
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0008.fzn,3.564835164835165,0.09924313477435819
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0023.fzn,6.662522202486678,0.1738781308873035
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0027.fzn,8.360488126649077,0.16374142679699735
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0018.fzn,4.596379497470973,0.008806672678088368
V1,20,7,pumpkin-v1/opt/n20_k7/instance_n20_k7_0005.fzn,5.11859649122807,0.1364419762543087
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0020.fzn,22.123987034035657,0.18926670654457892
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0005.fzn,6.235357770864331,0.13476858012651075
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0022.fzn,15.370776656428259,0.1420734368181535
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0003.fzn,15.461297888975762,0.14008762322015333
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0014.fzn,28.70903331093405,0.2328081349871494
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0011.fzn,27.253911700958998,0.2514295525463205
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0010.fzn,22.09898555179834,0.23144788331554608
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0015.fzn,16.059418457648547,0.20834979586461214
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0002.fzn,8.148084815321477,0.12536443148688048
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0007.fzn,12.70559610705596,0.16748924609463436
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0023.fzn,6.122428775712243,0.09757694475004695
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0001.fzn,25.165294297041783,0.19921020656136088
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0006.fzn,15.555343511450381,0.18217638196778305
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0018.fzn,16.863446286950253,0.2192053608117078
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0000.fzn,7.833333333333333,0.11845402981137053
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0019.fzn,14.1999057048562,0.15751169641309998
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0024.fzn,11.290642839414247,0.06551752174973575
V1,50,3,pumpkin-v1/opt/n50_k3/instance_n50_k3_0021.fzn,35.55143338954469,0.22791134645770167
