variant,config_n,config_k,config,total,optimal,satisfiable,timeout_with_solution,timeout_no_solution,unsatisfiable,unknown,error,proven_optimal_rate
V0,20,3,"n=20, k=3",30,30,0,0,0,0,0,0,1.0
V0,20,5,"n=20, k=5",30,30,0,0,0,0,0,0,1.0
V0,20,7,"n=20, k=7",30,30,0,0,0,0,0,0,1.0
V0,20,10,"n=20, k=10",30,27,3,0,0,0,0,0,0.9
V0,50,3,"n=50, k=3",25,25,0,0,0,0,0,0,1.0
V0,50,5,"n=50, k=5",25,6,10,0,0,0,2,7,0.24
V0,50,7,"n=50, k=7",25,1,13,0,0,0,0,11,0.04
V0,50,10,"n=50, k=10",25,1,14,0,0,0,1,9,0.04
V0,50,15,"n=50, k=15",25,0,9,0,0,0,0,16,0.0
V0,100,5,"n=100, k=5",20,0,12,0,0,0,8,0,0.0
V0,100,7,"n=100, k=7",20,0,8,0,0,0,11,1,0.0
V0,100,10,"n=100, k=10",20,0,14,0,0,0,6,0,0.0
V0,100,15,"n=100, k=15",20,0,14,0,0,0,6,0,0.0
V0,100,20,"n=100, k=20",20,0,14,0,0,0,2,4,0.0
V0,150,7,"n=150, k=7",20,0,3,0,0,0,17,0,0.0
V0,150,10,"n=150, k=10",20,0,5,0,0,0,15,0,0.0
V0,150,15,"n=150, k=15",20,0,10,0,0,0,10,0,0.0
V0,150,20,"n=150, k=20",20,0,13,0,0,0,6,1,0.0
V1,20,3,"n=20, k=3",30,30,0,0,0,0,0,0,1.0
V1,20,5,"n=20, k=5",30,30,0,0,0,0,0,0,1.0
V1,20,7,"n=20, k=7",30,30,0,0,0,0,0,0,1.0
V1,20,10,"n=20, k=10",30,30,0,0,0,0,0,0,1.0
V1,50,3,"n=50, k=3",25,25,0,0,0,0,0,0,1.0
V1,50,5,"n=50, k=5",25,13,10,0,0,0,1,1,0.52
V1,50,7,"n=50, k=7",25,12,4,0,0,0,0,9,0.48
V1,50,10,"n=50, k=10",25,10,0,0,0,0,1,14,0.4
V1,50,15,"n=50, k=15",25,9,3,0,0,0,0,13,0.36
V1,100,5,"n=100, k=5",20,1,9,0,0,0,10,0,0.05
V1,100,7,"n=100, k=7",20,2,8,0,0,0,9,1,0.1
V1,100,10,"n=100, k=10",20,1,13,0,0,0,4,2,0.05
V1,100,15,"n=100, k=15",20,0,10,0,0,0,2,8,0.0
V1,100,20,"n=100, k=20",20,0,11,0,0,0,1,8,0.0
V1,150,7,"n=150, k=7",20,0,11,0,0,0,9,0,0.0
V1,150,10,"n=150, k=10",20,2,8,0,0,0,10,0,0.1
V1,150,15,"n=150, k=15",20,0,13,0,0,0,7,0,0.0
V1,150,20,"n=150, k=20",20,0,15,0,0,0,4,1,0.0
V2,20,3,"n=20, k=3",30,30,0,0,0,0,0,0,1.0
V2,20,5,"n=20, k=5",30,30,0,0,0,0,0,0,1.0
V2,20,7,"n=20, k=7",30,30,0,0,0,0,0,0,1.0
V2,20,10,"n=20, k=10",30,30,0,0,0,0,0,0,1.0
V2,50,3,"n=50, k=3",25,25,0,0,0,0,0,0,1.0
V2,50,5,"n=50, k=5",25,17,8,0,0,0,0,0,0.68
V2,50,7,"n=50, k=7",25,15,9,0,0,0,1,0,0.6
V2,50,10,"n=50, k=10",25,14,9,0,0,0,1,1,0.56
V2,50,15,"n=50, k=15",25,13,8,0,0,0,0,4,0.52
V2,100,5,"n=100, k=5",20,2,14,0,0,0,4,0,0.1
V2,100,7,"n=100, k=7",20,7,9,0,0,0,4,0,0.35
V2,100,10,"n=100, k=10",20,2,16,0,0,0,2,0,0.1
V2,100,15,"n=100, k=15",20,2,16,0,0,0,2,0,0.1
V2,100,20,"n=100, k=20",20,2,18,0,0,0,0,0,0.1
V2,150,7,"n=150, k=7",20,0,16,0,0,0,4,0,0.0
V2,150,10,"n=150, k=10",20,3,11,0,0,0,6,0,0.15
V2,150,15,"n=150, k=15",20,0,18,0,0,0,2,0,0.0
V2,150,20,"n=150, k=20",20,0,18,0,0,0,2,0,0.0
V3,20,3,"n=20, k=3",30,30,0,0,0,0,0,0,1.0
V3,20,5,"n=20, k=5",30,30,0,0,0,0,0,0,1.0
V3,20,7,"n=20, k=7",30,30,0,0,0,0,0,0,1.0
V3,20,10,"n=20, k=10",30,29,1,0,0,0,0,0,0.9667
V3,50,3,"n=50, k=3",25,24,1,0,0,0,0,0,0.96
V3,50,5,"n=50, k=5",25,8,16,0,0,0,1,0,0.32
V3,50,7,"n=50, k=7",25,8,15,0,0,0,2,0,0.32
V3,50,10,"n=50, k=10",25,9,15,0,0,0,1,0,0.36
V3,50,15,"n=50, k=15",25,9,14,0,0,0,1,1,0.36
V3,100,5,"n=100, k=5",20,0,11,0,0,0,9,0,0.0
V3,100,7,"n=100, k=7",20,2,11,0,0,0,7,0,0.1
V3,100,10,"n=100, k=10",20,2,13,0,0,0,5,0,0.1
V3,100,15,"n=100, k=15",20,0,16,0,0,0,4,0,0.0
V3,100,20,"n=100, k=20",20,0,19,0,0,0,1,0,0.0
V3,150,7,"n=150, k=7",20,0,5,0,0,0,15,0,0.0
V3,150,10,"n=150, k=10",20,0,8,0,0,0,12,0,0.0
V3,150,15,"n=150, k=15",20,0,13,0,0,0,7,0,0.0
V3,150,20,"n=150, k=20",20,0,16,0,0,0,4,0,0.0
