variant,config_n,config_k,config,n_instances,n_optimal,proven_optimal_rate,median_par2_s,median_failures,median_propagations,median_avg_lbd,median_nogood_length,median_wall_time_s,median_avg_depth_at_failure,median_circuit_conflict_rate,median_avg_hall_set_size_v1,median_avg_hall_set_size_conflict_v2,median_avg_tight_hall_set_size_v2,median_avg_tight_hall_set_size_v3,median_hall_circuit_fire_rate_v3,median_gac_pruning_rate_v3,median_alldiff_pruning_rate_v2,median_avg_vars_involved_per_pruning_v2,median_avg_scc_size_when_pruning_v2
V0,20,3,"n=20, k=3",30,30,1.0,15.45,125.5,22113.0,3.8831,7.7871,15.45,13.2989,0.1418,,,,,,,,,
V0,20,5,"n=20, k=5",30,30,1.0,9.45,2246.5,291781.5,5.7076,18.5089,9.45,13.6245,0.0903,,,,,,,,,
V0,20,7,"n=20, k=7",30,30,1.0,9.805,5487.5,806521.5,6.9367,28.4273,9.805,15.0109,0.0487,,,,,,,,,
V0,20,10,"n=20, k=10",30,27,0.9,16.345,5829.0,946067.0,7.0403,42.1167,15.1,15.5014,0.0412,,,,,,,,,
V0,50,3,"n=50, k=3",25,25,1.0,13.04,2303.0,1248351.0,6.9802,15.379,13.04,33.0407,0.1035,,,,,,,,,
V0,50,5,"n=50, k=5",25,6,0.24,3600.0,1394134.5,485298682.0,10.3716,31.193,377.28,33.272,0.0346,,,,,,,,,
V0,50,7,"n=50, k=7",25,1,0.04,3600.0,13078.0,4736958.0,17.8965,39.8752,23.13,43.5468,0.0592,,,,,,,,,
V0,50,10,"n=50, k=10",25,1,0.04,3600.0,167476.0,50660446.0,21.5638,39.5823,80.12,40.76,0.0522,,,,,,,,,
V0,50,15,"n=50, k=15",25,0,0.0,3600.0,,,,,,,,,,,,,,,,
V0,100,5,"n=100, k=5",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V0,100,7,"n=100, k=7",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V0,100,10,"n=100, k=10",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V0,100,15,"n=100, k=15",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V0,100,20,"n=100, k=20",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V0,150,7,"n=150, k=7",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V0,150,10,"n=150, k=10",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V0,150,15,"n=150, k=15",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V0,150,20,"n=150, k=20",20,0,0.0,3600.0,,,,,,,,,,,,,,,,
V1,20,3,"n=20, k=3",30,30,1.0,7.77,209.0,5989.0,3.7061,5.0964,7.77,11.8353,0.0104,5.1772,,,,,,,,
V1,20,5,"n=20, k=5",30,30,1.0,0.88,381.0,13247.5,5.0228,8.8466,0.88,14.6486,0.0068,4.8761,,,,,,,,
V1,20,7,"n=20, k=7",30,30,1.0,0.275,701.5,26419.0,5.8098,12.1805,0.275,15.8796,0.0134,4.5103,,,,,,,,
V1,20,10,"n=20, k=10",30,30,1.0,1.22,868.0,49717.5,5.6756,17.3741,1.22,15.8027,0.0079,4.038,,,,,,,,
V1,50,3,"n=50, k=3",25,25,1.0,2.37,3937.0,126739.0,7.464,11.2346,2.37,26.8,0.0185,15.4613,,,,,,,,
V1,50,5,"n=50, k=5",25,13,0.52,1420.31,13115.0,397517.0,11.8644,19.3535,7.36,38.3498,0.0127,10.9213,,,,,,,,
V1,50,7,"n=50, k=7",25,12,0.48,3600.0,397420.5,9128556.0,17.5364,37.2381,128.765,41.0131,0.1042,15.5305,,,,,,,,
V1,50,10,"n=50, k=10",25,10,0.4,3600.0,134547.0,3267914.5,22.5347,59.5802,35.035,44.272,0.0282,16.0369,,,,,,,,
