metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Avg LBD,20,3,"n=20, k=3",3.8831,0.7051,30,3.7061,1.121,30,3.7721,1.1282,30,3.6719,0.9345,30
Avg LBD,20,5,"n=20, k=5",5.7076,0.9678,30,5.0228,1.8448,30,5.807,1.5542,30,6.0789,1.6701,30
Avg LBD,20,7,"n=20, k=7",6.9367,1.2371,30,5.8098,2.5859,30,7.0984,2.6896,30,7.2846,3.0163,30
Avg LBD,20,10,"n=20, k=10",7.0403,1.3839,27,5.6756,2.4357,30,7.9912,2.4952,30,8.1343,2.472,29
Avg LBD,50,3,"n=50, k=3",6.9802,1.7253,25,7.464,1.843,25,5.8841,2.6659,25,7.3001,2.063,24
Avg LBD,50,5,"n=50, k=5",10.3716,1.8266,6,11.8644,7.7708,13,13.3796,7.5758,17,15.7054,3.328,8
Avg LBD,50,7,"n=50, k=7",17.8965,0.0,1,17.5364,7.2371,12,17.3052,7.9574,15,21.543,4.8296,8
Avg LBD,50,10,"n=50, k=10",21.5638,0.0,1,22.5347,9.7732,10,18.4259,7.5417,14,24.4607,3.673,9
Avg LBD,50,15,"n=50, k=15",,,0,18.7046,4.1342,9,17.9374,4.0477,13,22.3474,5.0157,9
Avg LBD,100,5,"n=100, k=5",,,0,25.1466,0.0,1,16.4416,0.0382,2,,,0
Avg LBD,100,7,"n=100, k=7",,,0,19.9203,4.1882,2,23.7125,14.5809,7,28.6264,21.8712,2
Avg LBD,100,10,"n=100, k=10",,,0,19.6,0.0,1,38.2655,0.5984,2,37.5963,11.5173,2
Avg LBD,100,15,"n=100, k=15",,,0,,,0,62.1058,8.0748,2,,,0
Avg LBD,100,20,"n=100, k=20",,,0,,,0,49.4886,13.0465,2,,,0
Avg LBD,150,10,"n=150, k=10",,,0,44.1895,23.1041,2,67.836,25.1183,3,,,0
Avg nogood length,20,3,"n=20, k=3",7.7871,1.9812,30,5.0964,2.3455,30,7.53,2.7537,30,7.3704,3.0302,30
Avg nogood length,20,5,"n=20, k=5",18.5089,5.6871,30,8.8466,5.4727,30,14.1297,5.325,30,14.9516,4.64,30
Avg nogood length,20,7,"n=20, k=7",28.4273,9.5239,30,12.1805,9.4613,30,21.2811,10.0759,30,20.6104,9.677,30
Avg nogood length,20,10,"n=20, k=10",42.1167,19.8245,27,17.3741,17.8901,30,34.7643,19.6758,30,32.808,18.3476,29
Avg nogood length,50,3,"n=50, k=3",15.379,5.6278,25,11.2346,3.3733,25,14.3162,7.6194,25,15.4361,7.3218,24
Avg nogood length,50,5,"n=50, k=5",31.193,9.444,6,19.3535,16.5381,13,28.2531,17.7281,17,25.6613,12.3362,8
Avg nogood length,50,7,"n=50, k=7",39.8752,0.0,1,37.2381,23.4617,12,40.0826,21.0889,15,35.7611,7.1089,8
Avg nogood length,50,10,"n=50, k=10",39.5823,0.0,1,59.5802,32.7897,10,50.6252,36.0623,14,44.7654,12.6211,9
Avg nogood length,50,15,"n=50, k=15",,,0,68.163,62.8376,9,61.7595,51.9677,13,59.9352,12.3559,9
Avg nogood length,100,5,"n=100, k=5",,,0,51.7425,0.0,1,39.9346,10.5566,2,,,0
Avg nogood length,100,7,"n=100, k=7",,,0,39.1914,13.9644,2,51.4037,27.8868,7,65.1816,5.9906,2
Avg nogood length,100,10,"n=100, k=10",,,0,34.477,0.0,1,64.379,3.0602,2,60.9215,7.6846,2
