metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Best maxleg found,20,3,"n=20, k=3",90.5,52.25,30,240.5,93.0,30,79.0,13.5,30,79.0,13.5,30
Best maxleg found,20,5,"n=20, k=5",161.0,111.5,30,466.5,178.75,30,132.0,20.5,30,132.0,17.75,30
Best maxleg found,20,7,"n=20, k=7",189.0,37.25,30,638.5,116.0,30,176.0,17.75,30,175.5,16.5,30
Best maxleg found,20,10,"n=20, k=10",252.0,15.25,30,945.5,109.5,30,249.5,16.5,30,249.5,16.5,30
Best maxleg found,50,3,"n=50, k=3",1093.0,1507.0,25,2165.0,2134.0,25,257.0,121.0,25,264.0,250.0,25
Best maxleg found,50,5,"n=50, k=5",3252.0,3394.5,16,3555.0,2118.0,23,522.0,808.0,25,838.0,17784.5,24
Best maxleg found,50,7,"n=50, k=7",792.0,11175.75,14,3360.0,663.25,16,474.5,357.5,24,483.0,3890.5,23
Best maxleg found,50,10,"n=50, k=10",6225.0,16745.5,15,5587.0,6997.0,10,646.0,175.5,23,646.0,2036.25,24
Best maxleg found,50,15,"n=50, k=15",931.0,126.0,9,8122.5,876.0,12,907.0,145.0,21,906.0,105.5,23
Best maxleg found,100,5,"n=100, k=5",15601.5,113129.25,12,23324.5,51463.25,10,1500.5,4302.25,16,2097.0,4846.0,11
Best maxleg found,100,7,"n=100, k=7",25076.0,679010.5,8,17864.0,51262.5,10,1424.0,10359.25,16,1613.0,53994.0,13
Best maxleg found,100,10,"n=100, k=10",2759.5,125108.0,14,19411.5,4618.0,14,1250.0,4257.0,18,1228.0,493.5,15
Best maxleg found,100,15,"n=100, k=15",3374.5,8761.0,14,30369.5,5931.0,10,1761.0,227.0,18,1748.5,190.25,16
Best maxleg found,100,20,"n=100, k=20",5673.0,10673.0,14,43750.0,114728.5,11,2331.0,2910.5,20,2338.0,9111.0,19
Best maxleg found,150,7,"n=150, k=7",16557.0,249207.5,3,61073.0,139526.0,11,10752.0,173412.0,16,1302.0,528.0,5
Best maxleg found,150,10,"n=150, k=10",24516.0,131056.0,5,47468.0,81015.5,10,2849.0,10001.5,14,1925.0,562.75,8
Best maxleg found,150,15,"n=150, k=15",6946.0,4664.25,10,62895.0,38626.0,13,2816.5,1918.0,18,2658.0,1470.0,13
Best maxleg found,150,20,"n=150, k=20",6963.0,22671.0,13,87040.0,5515.5,15,3534.5,2143.25,18,3425.5,957.25,16
