metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Solve time (s) [solver],20,3,"n=20, k=3",0.01,0.0096,30,0.008,0.0142,30,0.0084,0.0217,30,0.0082,0.0202,30
Solve time (s) [solver],20,5,"n=20, k=5",0.1845,0.3151,30,0.023,0.043,30,0.0104,0.0143,30,0.0163,0.038,30
Solve time (s) [solver],20,7,"n=20, k=7",0.6593,5.7489,30,0.0577,0.0908,30,0.022,0.0436,30,0.0276,0.0531,30
Solve time (s) [solver],20,10,"n=20, k=10",1.0041,12.0908,27,0.0615,0.2739,30,0.0264,0.1053,30,0.0308,0.0586,29
Solve time (s) [solver],50,3,"n=50, k=3",0.4693,3.1177,25,0.5989,1.4848,25,0.1943,0.4876,25,0.6384,2.248,24
Solve time (s) [solver],50,5,"n=50, k=5",355.9237,400.6223,6,2.317,12.4949,13,0.5005,41.294,17,1.1278,65.8052,8
Solve time (s) [solver],50,7,"n=50, k=7",3.8451,0.0,1,120.4978,219.5245,12,7.6875,127.8405,15,8.1507,223.0895,8
Solve time (s) [solver],50,10,"n=50, k=10",64.2227,0.0,1,31.2502,294.8609,10,5.5291,53.0224,14,69.4414,182.3073,9
Solve time (s) [solver],50,15,"n=50, k=15",,,0,8.7115,490.4879,9,5.9201,28.2859,13,4.8898,208.519,9
Solve time (s) [solver],100,5,"n=100, k=5",,,0,949.708,0.0,1,182.8829,180.8565,2,,,0
Solve time (s) [solver],100,7,"n=100, k=7",,,0,268.7883,261.354,2,21.4616,16.3254,7,236.9846,110.4372,2
Solve time (s) [solver],100,10,"n=100, k=10",,,0,4.8482,0.0,1,1.8837,0.4711,2,31.1645,27.7635,2
Solve time (s) [solver],100,15,"n=100, k=15",,,0,,,0,412.3323,343.0124,2,,,0
Solve time (s) [solver],100,20,"n=100, k=20",,,0,,,0,107.7203,69.0694,2,,,0
Solve time (s) [solver],150,10,"n=150, k=10",,,0,520.9168,510.3366,2,121.2306,466.2775,3,,,0
Wall-clock time (s),20,3,"n=20, k=3",15.45,12.135,30,7.77,10.5425,30,7.6,11.205,30,8.195,8.075,30
Wall-clock time (s),20,5,"n=20, k=5",9.45,6.935,30,0.88,0.73,30,1.625,4.1375,30,0.3,0.1475,30
Wall-clock time (s),20,7,"n=20, k=7",9.805,9.64,30,0.275,0.1025,30,5.67,6.24,30,4.915,4.28,30
Wall-clock time (s),20,10,"n=20, k=10",15.1,9.655,27,1.22,4.775,30,3.385,7.3975,30,0.74,1.55,29
Wall-clock time (s),50,3,"n=50, k=3",13.04,6.41,25,2.37,3.62,25,4.78,4.78,25,16.4,12.2575,24
Wall-clock time (s),50,5,"n=50, k=5",377.28,398.2925,6,7.36,11.01,13,4.8,44.06,17,18.59,72.5525,8
Wall-clock time (s),50,7,"n=50, k=7",23.13,0.0,1,128.765,221.8775,12,16.05,131.42,15,21.415,216.66,8
Wall-clock time (s),50,10,"n=50, k=10",80.12,0.0,1,35.035,300.895,10,14.505,45.655,14,70.08,182.55,9
Wall-clock time (s),50,15,"n=50, k=15",,,0,10.46,491.95,9,22.63,28.34,13,7.22,210.02,9
Wall-clock time (s),100,5,"n=100, k=5",,,0,959.6,0.0,1,184.375,181.865,2,,,0
Wall-clock time (s),100,7,"n=100, k=7",,,0,273.43,262.1,2,30.04,14.335,7,268.785,124.615,2
Wall-clock time (s),100,10,"n=100, k=10",,,0,18.89,0.0,1,7.345,0.425,2,34.905,30.975,2
Wall-clock time (s),100,15,"n=100, k=15",,,0,,,0,424.03,333.45,2,,,0
Wall-clock time (s),100,20,"n=100, k=20",,,0,,,0,123.19,58.21,2,,,0
Wall-clock time (s),150,10,"n=150, k=10",,,0,522.395,511.185,2,144.33,468.32,3,,,0
