metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Failures (backtracks),20,3,"n=20, k=3",125.5,129.5,30,209.0,353.0,30,39.0,122.25,30,41.5,119.0,30
Failures (backtracks),20,5,"n=20, k=5",2246.5,2990.25,30,381.0,769.75,30,56.5,95.75,30,69.5,115.75,30
Failures (backtracks),20,7,"n=20, k=7",5487.5,34505.5,30,701.5,1142.75,30,125.5,297.75,30,134.5,303.5,30
Failures (backtracks),20,10,"n=20, k=10",5829.0,48531.5,27,868.0,3168.5,30,82.5,662.5,30,76.0,231.0,29
Failures (backtracks),50,3,"n=50, k=3",2303.0,13734.0,25,3937.0,9936.0,25,443.0,937.0,25,1178.0,4235.0,24
Failures (backtracks),50,5,"n=50, k=5",1394134.5,1427958.0,6,13115.0,55664.0,13,1383.0,75435.0,17,2109.0,105680.0,8
Failures (backtracks),50,7,"n=50, k=7",13078.0,0.0,1,397420.5,869975.5,12,16678.0,181555.0,15,14801.5,327379.5,8
Failures (backtracks),50,10,"n=50, k=10",167476.0,0.0,1,134547.0,1008939.25,10,12033.0,69394.5,14,89666.0,212065.0,9
Failures (backtracks),50,15,"n=50, k=15",,,0,28680.0,929975.0,9,10688.0,47890.0,13,7548.0,346495.0,9
Failures (backtracks),100,5,"n=100, k=5",,,0,1665694.0,0.0,1,93046.5,91218.5,2,,,0
Failures (backtracks),100,7,"n=100, k=7",,,0,336443.0,320996.0,2,17859.0,10449.0,7,160154.5,93568.5,2
Failures (backtracks),100,10,"n=100, k=10",,,0,6623.0,0.0,1,1186.0,408.0,2,19834.0,17694.0,2
Failures (backtracks),100,15,"n=100, k=15",,,0,,,0,229546.0,177665.0,2,,,0
Failures (backtracks),100,20,"n=100, k=20",,,0,,,0,67511.5,41665.5,2,,,0
Failures (backtracks),150,10,"n=150, k=10",,,0,362319.0,358328.0,2,51439.0,202692.0,3,,,0
Nodes explored,20,3,"n=20, k=3",349.5,185.0,30,616.5,471.25,30,240.0,142.5,30,242.0,151.75,30
Nodes explored,20,5,"n=20, k=5",3548.5,3195.25,30,1782.5,740.25,30,767.0,187.75,30,781.0,388.75,30
Nodes explored,20,7,"n=20, k=7",8049.5,36182.75,30,3313.0,1741.5,30,1732.5,741.5,30,1740.0,609.0,30
Nodes explored,20,10,"n=20, k=10",9580.0,48342.5,27,5506.0,3695.75,30,3193.5,1903.0,30,3171.0,1603.0,29
Nodes explored,50,3,"n=50, k=3",3680.0,17225.0,25,6669.0,12620.0,25,1080.0,1448.0,25,1829.0,4979.75,24
Nodes explored,50,5,"n=50, k=5",2475074.0,1501606.75,6,21810.0,76132.0,13,4943.0,156941.0,17,6377.0,107222.25,8
Nodes explored,50,7,"n=50, k=7",16330.0,0.0,1,498191.5,1018098.5,12,34711.0,281008.5,15,20622.0,368656.5,8
Nodes explored,50,10,"n=50, k=10",182894.0,0.0,1,167169.5,1040213.0,10,28088.5,76467.75,14,100768.0,208413.0,9
Nodes explored,50,15,"n=50, k=15",,,0,84683.0,1013034.0,9,44641.0,52826.0,13,41369.0,351202.0,9
Nodes explored,100,5,"n=100, k=5",,,0,1723415.0,0.0,1,172660.5,164215.5,2,,,0
Nodes explored,100,7,"n=100, k=7",,,0,871469.5,785745.5,2,50523.0,10342.5,7,173158.5,83750.5,2
Nodes explored,100,10,"n=100, k=10",,,0,78673.0,0.0,1,34785.5,244.5,2,53316.0,17510.0,2
Nodes explored,100,15,"n=100, k=15",,,0,,,0,327256.5,162263.5,2,,,0
Nodes explored,100,20,"n=100, k=20",,,0,,,0,248000.5,83143.5,2,,,0
Nodes explored,150,10,"n=150, k=10",,,0,887551.0,784541.0,2,122380.0,447905.0,3,,,0
Propagations,20,3,"n=20, k=3",22113.0,18495.5,30,5989.0,8259.5,30,2374.5,3603.75,30,2007.0,3396.5,30
Propagations,20,5,"n=20, k=5",291781.5,368434.75,30,13247.5,20424.75,30,4417.0,3287.25,30,4240.0,2792.5,30
Propagations,20,7,"n=20, k=7",806521.5,3729570.75,30,26419.0,37320.75,30,9459.0,11350.0,30,9491.5,12099.25,30
Propagations,20,10,"n=20, k=10",946067.0,5749270.5,27,49717.5,171726.25,30,16428.0,31103.75,30,16242.0,19543.0,29
Propagations,50,3,"n=50, k=3",1248351.0,7127650.0,25,126739.0,301625.0,25,21790.0,43694.0,25,41030.5,161075.25,24
Propagations,50,5,"n=50, k=5",485298682.0,446604739.25,6,397517.0,1440769.0,13,58264.0,4373513.0,17,71558.5,2990975.5,8
Propagations,50,7,"n=50, k=7",4736958.0,0.0,1,9128556.0,30008417.5,12,694725.0,8903619.5,15,531209.0,10324069.0,8
Propagations,50,10,"n=50, k=10",50660446.0,0.0,1,3267914.5,43580413.0,10,507270.0,4219698.75,14,2987859.0,11004575.0,9
Propagations,50,15,"n=50, k=15",,,0,1600242.0,35415801.0,9,1133686.0,2802026.0,13,546559.0,23760643.0,9
Propagations,100,5,"n=100, k=5",,,0,17930546.0,0.0,1,4866289.0,4750541.0,2,,,0
Propagations,100,7,"n=100, k=7",,,0,16415327.5,15397280.5,2,858059.0,395951.0,7,6013302.5,3517166.5,2
Propagations,100,10,"n=100, k=10",,,0,577657.0,0.0,1,143023.5,15001.5,2,918860.0,752114.0,2
Propagations,100,15,"n=100, k=15",,,0,,,0,9249540.5,6106145.5,2,,,0
Propagations,100,20,"n=100, k=20",,,0,,,0,6758990.0,3843078.0,2,,,0
Propagations,150,10,"n=150, k=10",,,0,13322635.0,12663431.0,2,1797934.0,7290718.5,3,,,0
Peak search depth,20,3,"n=20, k=3",76.5,6.75,30,81.0,6.5,30,75.0,6.75,30,74.5,7.75,30
Peak search depth,20,5,"n=20, k=5",125.5,8.0,30,131.0,8.75,30,125.0,8.75,30,125.5,9.5,30
Peak search depth,20,7,"n=20, k=7",174.5,13.25,30,176.5,12.25,30,174.0,12.5,30,174.0,11.5,30
Peak search depth,20,10,"n=20, k=10",250.0,17.0,27,252.5,13.25,30,250.5,14.75,30,250.0,14.0,29
Peak search depth,50,3,"n=50, k=3",170.0,17.0,25,181.0,8.0,25,169.0,16.0,25,169.5,18.25,24
Peak search depth,50,5,"n=50, k=5",303.5,16.75,6,307.0,14.0,13,303.0,16.0,17,298.0,22.5,8
Peak search depth,50,7,"n=50, k=7",431.0,0.0,1,421.5,25.5,12,421.0,21.5,15,420.5,15.0,8
Peak search depth,50,10,"n=50, k=10",620.0,0.0,1,604.5,18.0,10,596.0,16.5,14,597.0,26.0,9
Peak search depth,50,15,"n=50, k=15",,,0,876.0,26.0,9,888.0,30.0,13,872.0,30.0,9
Peak search depth,100,5,"n=100, k=5",,,0,575.0,0.0,1,573.5,9.5,2,,,0
Peak search depth,100,7,"n=100, k=7",,,0,805.5,7.5,2,823.0,34.5,7,821.0,12.0,2
Peak search depth,100,10,"n=100, k=10",,,0,1148.0,0.0,1,1161.5,7.5,2,1153.0,14.0,2
Peak search depth,100,15,"n=100, k=15",,,0,,,0,1690.5,2.5,2,,,0
Peak search depth,100,20,"n=100, k=20",,,0,,,0,2272.5,16.5,2,,,0
Peak search depth,150,10,"n=150, k=10",,,0,1710.5,19.5,2,1724.0,38.5,3,,,0
Restarts,20,3,"n=20, k=3",0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30
Restarts,20,5,"n=20, k=5",0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30
Restarts,20,7,"n=20, k=7",0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30
Restarts,20,10,"n=20, k=10",0.0,0.0,27,0.0,0.0,30,0.0,0.0,30,0.0,0.0,29
Restarts,50,3,"n=50, k=3",0.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.0,0.0,24
Restarts,50,5,"n=50, k=5",0.0,0.0,6,0.0,0.0,13,0.0,0.0,17,0.0,0.0,8
Restarts,50,7,"n=50, k=7",0.0,0.0,1,0.0,0.0,12,0.0,0.0,15,0.0,0.0,8
Restarts,50,10,"n=50, k=10",0.0,0.0,1,0.0,0.0,10,0.0,0.0,14,0.0,0.0,9
Restarts,50,15,"n=50, k=15",,,0,0.0,0.0,9,0.0,0.0,13,0.0,0.0,9
Restarts,100,5,"n=100, k=5",,,0,0.0,0.0,1,0.0,0.0,2,,,0
Restarts,100,7,"n=100, k=7",,,0,0.0,0.0,2,0.0,0.5,7,0.0,0.0,2
Restarts,100,10,"n=100, k=10",,,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,2
Restarts,100,15,"n=100, k=15",,,0,,,0,0.5,0.5,2,,,0
Restarts,100,20,"n=100, k=20",,,0,,,0,0.5,0.5,2,,,0
Restarts,150,10,"n=150, k=10",,,0,0.0,0.0,2,0.0,0.0,3,,,0
