metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n
Solve time (s) [solver-reported],20,3,"n=20, k=3",0.035,0.0288,30,0.0292,0.0167,30
Solve time (s) [solver-reported],20,5,"n=20, k=5",0.1923,0.539,30,0.0371,0.0176,30
Solve time (s) [solver-reported],20,7,"n=20, k=7",0.8112,14.2145,30,0.0516,0.0182,30
Solve time (s) [solver-reported],20,10,"n=20, k=10",1.3609,17.7084,27,0.0751,0.0272,30
Solve time (s) [solver-reported],50,3,"n=50, k=3",0.1759,0.4952,25,0.2221,0.3312,25
Solve time (s) [solver-reported],50,5,"n=50, k=5",27.5581,231.1006,18,0.7114,0.5793,20
Solve time (s) [solver-reported],50,7,"n=50, k=7",62.5834,385.9496,7,1.2766,2.4018,24
Solve time (s) [solver-reported],50,10,"n=50, k=10",115.595,90.8065,5,2.0264,1.9988,22
Solve time (s) [solver-reported],50,15,"n=50, k=15",41.3233,143.4943,5,2.337,1.893,23
Solve time (s) [solver-reported],100,5,"n=100, k=5",426.9714,826.2432,11,19.9965,21.9305,18
Solve time (s) [solver-reported],100,7,"n=100, k=7",,,0,54.9174,82.1837,18
Solve time (s) [solver-reported],100,10,"n=100, k=10",,,0,161.6188,398.8525,19
Solve time (s) [solver-reported],100,15,"n=100, k=15",,,0,139.7593,574.1103,17
Solve time (s) [solver-reported],100,20,"n=100, k=20",,,0,191.5312,394.1556,16
Solve time (s) [solver-reported],150,7,"n=150, k=7",,,0,959.3495,468.6673,11
Solve time (s) [solver-reported],150,10,"n=150, k=10",,,0,814.745,614.6982,6
Solve time (s) [solver-reported],150,15,"n=150, k=15",,,0,1007.6889,705.8116,4
Solve time (s) [solver-reported],150,20,"n=150, k=20",,,0,1316.6102,464.2186,2
Wall-clock time (s),20,3,"n=20, k=3",1.7,0.1975,30,9.39,2.51,30
Wall-clock time (s),20,5,"n=20, k=5",0.575,0.5575,30,1.94,0.245,30
Wall-clock time (s),20,7,"n=20, k=7",1.24,14.045,30,1.69,0.1875,30
Wall-clock time (s),20,10,"n=20, k=10",5.61,16.37,27,1.88,0.205,30
Wall-clock time (s),50,3,"n=50, k=3",1.77,0.6,25,6.38,5.45,25
Wall-clock time (s),50,5,"n=50, k=5",29.895,232.995,18,2.585,0.635,20
Wall-clock time (s),50,7,"n=50, k=7",66.04,385.375,7,3.0,2.79,24
Wall-clock time (s),50,10,"n=50, k=10",117.62,95.14,5,3.86,2.65,22
Wall-clock time (s),50,15,"n=50, k=15",42.18,143.79,5,4.04,2.29,23
Wall-clock time (s),100,5,"n=100, k=5",432.31,829.93,11,21.885,21.9725,18
Wall-clock time (s),100,7,"n=100, k=7",,,0,56.675,82.26,18
Wall-clock time (s),100,10,"n=100, k=10",,,0,166.84,401.89,19
Wall-clock time (s),100,15,"n=100, k=15",,,0,141.21,575.28,17
Wall-clock time (s),100,20,"n=100, k=20",,,0,193.455,394.3025,16
Wall-clock time (s),150,7,"n=150, k=7",,,0,962.15,468.69,11
Wall-clock time (s),150,10,"n=150, k=10",,,0,818.545,614.1325,6
Wall-clock time (s),150,15,"n=150, k=15",,,0,1010.71,707.09,4
Wall-clock time (s),150,20,"n=150, k=20",,,0,1320.49,464.42,2
Failures (backtracks),20,3,"n=20, k=3",712.5,481.25,30,642.5,417.5,30
Failures (backtracks),20,5,"n=20, k=5",2323.5,6040.25,30,502.0,263.25,30
Failures (backtracks),20,7,"n=20, k=7",6072.5,80382.5,30,492.5,165.75,30
Failures (backtracks),20,10,"n=20, k=10",7050.0,54636.0,27,533.0,238.75,30
Failures (backtracks),50,3,"n=50, k=3",1544.0,2898.0,25,1466.0,1748.0,25
Failures (backtracks),50,5,"n=50, k=5",129977.5,760855.25,18,3390.0,2843.25,20
Failures (backtracks),50,7,"n=50, k=7",145606.0,888175.0,7,4955.0,9051.5,24
Failures (backtracks),50,10,"n=50, k=10",233708.0,197888.0,5,6078.0,5887.75,22
Failures (backtracks),50,15,"n=50, k=15",79463.0,199183.0,5,6185.0,5290.5,23
Failures (backtracks),100,5,"n=100, k=5",988009.0,1276682.5,11,35390.5,49100.25,18
Failures (backtracks),100,7,"n=100, k=7",,,0,104341.5,152073.5,18
Failures (backtracks),100,10,"n=100, k=10",,,0,191032.0,626923.0,19
Failures (backtracks),100,15,"n=100, k=15",,,0,176155.0,677087.0,17
Failures (backtracks),100,20,"n=100, k=20",,,0,180439.5,338241.5,16
Failures (backtracks),150,7,"n=150, k=7",,,0,940666.0,448472.5,11
Failures (backtracks),150,10,"n=150, k=10",,,0,574477.0,602148.0,6
Failures (backtracks),150,15,"n=150, k=15",,,0,506286.0,274013.75,4
Failures (backtracks),150,20,"n=150, k=20",,,0,810764.5,485854.5,2
Nodes explored,20,3,"n=20, k=3",893.0,580.0,30,1109.0,467.5,30
Nodes explored,20,5,"n=20, k=5",3448.0,8130.75,30,1094.0,764.75,30
Nodes explored,20,7,"n=20, k=7",7776.0,105736.25,30,1175.0,823.0,30
Nodes explored,20,10,"n=20, k=10",9078.0,73683.5,27,1361.0,899.25,30
Nodes explored,50,3,"n=50, k=3",2478.0,4030.0,25,4478.0,2750.0,25
Nodes explored,50,5,"n=50, k=5",181233.0,1032679.25,18,12861.5,8093.5,20
Nodes explored,50,7,"n=50, k=7",193976.0,1190765.0,7,23310.0,12225.0,24
Nodes explored,50,10,"n=50, k=10",323148.0,222564.0,5,34138.5,24978.25,22
Nodes explored,50,15,"n=50, k=15",216952.0,346459.0,5,28012.0,32102.5,23
Nodes explored,100,5,"n=100, k=5",1461584.0,1881627.5,11,90118.0,72925.25,18
Nodes explored,100,7,"n=100, k=7",,,0,239582.0,259280.0,18
Nodes explored,100,10,"n=100, k=10",,,0,654923.0,903626.5,19
Nodes explored,100,15,"n=100, k=15",,,0,474329.0,956554.0,17
Nodes explored,100,20,"n=100, k=20",,,0,538537.0,1036594.25,16
Nodes explored,150,7,"n=150, k=7",,,0,1509501.0,572642.0,11
Nodes explored,150,10,"n=150, k=10",,,0,1921964.0,1255200.75,6
Nodes explored,150,15,"n=150, k=15",,,0,1742846.5,1319255.75,4
Nodes explored,150,20,"n=150, k=20",,,0,1834125.5,587319.5,2
Propagations,20,3,"n=20, k=3",93547.0,79330.25,30,35112.0,11556.5,30
Propagations,20,5,"n=20, k=5",278491.5,609810.5,30,53095.5,13174.5,30
Propagations,20,7,"n=20, k=7",730950.0,6125680.25,30,77960.5,12583.0,30
Propagations,20,10,"n=20, k=10",1047462.0,5373746.0,27,119224.5,24463.25,30
Propagations,50,3,"n=50, k=3",469602.0,1099583.0,25,73247.0,55245.0,25
Propagations,50,5,"n=50, k=5",28267675.5,173734025.25,18,147582.0,75499.25,20
Propagations,50,7,"n=50, k=7",28324750.0,170304663.0,7,238653.5,266609.75,24
Propagations,50,10,"n=50, k=10",42188667.0,35298136.0,5,413020.5,257374.0,22
Propagations,50,15,"n=50, k=15",19956905.0,44432008.0,5,583047.0,240548.5,23
Propagations,100,5,"n=100, k=5",429742261.0,495534017.5,11,1208652.0,1669330.0,18
Propagations,100,7,"n=100, k=7",,,0,3730502.0,5068962.5,18
Propagations,100,10,"n=100, k=10",,,0,8003615.0,24263387.0,19
Propagations,100,15,"n=100, k=15",,,0,15665567.0,27656877.0,17
Propagations,100,20,"n=100, k=20",,,0,22610549.5,40284851.0,16
Propagations,150,7,"n=150, k=7",,,0,29931051.0,11452544.5,11
Propagations,150,10,"n=150, k=10",,,0,25947711.5,27051130.25,6
Propagations,150,15,"n=150, k=15",,,0,36163995.5,19473162.5,4
Propagations,150,20,"n=150, k=20",,,0,102753599.5,58619663.5,2
Peak search depth,20,3,"n=20, k=3",70.5,8.0,30,71.0,9.0,30
Peak search depth,20,5,"n=20, k=5",100.0,18.75,30,100.5,16.75,30
Peak search depth,20,7,"n=20, k=7",121.0,84.5,30,102.5,26.5,30
Peak search depth,20,10,"n=20, k=10",125.0,112.0,27,109.0,38.5,30
Peak search depth,50,3,"n=50, k=3",170.0,13.0,25,167.0,14.0,25
Peak search depth,50,5,"n=50, k=5",326.5,42.5,18,283.0,29.0,20
Peak search depth,50,7,"n=50, k=7",462.0,75.0,7,346.0,54.75,24
Peak search depth,50,10,"n=50, k=10",538.0,157.0,5,397.0,99.0,22
Peak search depth,50,15,"n=50, k=15",877.0,414.0,5,390.0,97.0,23
Peak search depth,100,5,"n=100, k=5",614.0,93.5,11,549.5,62.75,18
Peak search depth,100,7,"n=100, k=7",,,0,730.5,108.25,18
Peak search depth,100,10,"n=100, k=10",,,0,868.0,186.5,19
Peak search depth,100,15,"n=100, k=15",,,0,881.0,277.0,17
Peak search depth,100,20,"n=100, k=20",,,0,889.0,217.25,16
Peak search depth,150,7,"n=150, k=7",,,0,1124.0,137.0,11
Peak search depth,150,10,"n=150, k=10",,,0,1362.0,370.0,6
Peak search depth,150,15,"n=150, k=15",,,0,1320.0,286.25,4
Peak search depth,150,20,"n=150, k=20",,,0,1168.5,36.5,2
Restarts,20,3,"n=20, k=3",0.0,0.0,30,0.0,0.0,30
Restarts,20,5,"n=20, k=5",0.0,0.0,30,0.0,0.0,30
Restarts,20,7,"n=20, k=7",0.0,156.0,30,0.0,0.0,30
Restarts,20,10,"n=20, k=10",0.0,188.0,27,0.0,0.0,30
Restarts,50,3,"n=50, k=3",0.0,0.0,25,0.0,0.0,25
Restarts,50,5,"n=50, k=5",238.0,1246.0,18,0.0,0.0,20
Restarts,50,7,"n=50, k=7",191.0,3419.0,7,0.0,7.5,24
Restarts,50,10,"n=50, k=10",223.0,429.0,5,0.0,1.5,22
Restarts,50,15,"n=50, k=15",192.0,702.0,5,0.0,0.0,23
Restarts,100,5,"n=100, k=5",2488.0,2720.0,11,67.5,122.75,18
Restarts,100,7,"n=100, k=7",,,0,174.0,270.25,18
Restarts,100,10,"n=100, k=10",,,0,360.0,651.0,19
Restarts,100,15,"n=100, k=15",,,0,287.0,415.0,17
Restarts,100,20,"n=100, k=20",,,0,290.0,457.5,16
Restarts,150,7,"n=150, k=7",,,0,1077.0,430.0,11
Restarts,150,10,"n=150, k=10",,,0,1679.0,1606.75,6
Restarts,150,15,"n=150, k=15",,,0,1089.0,1116.75,4
Restarts,150,20,"n=150, k=20",,,0,867.5,112.5,2
Avg LBD,20,3,"n=20, k=3",1.7297,0.8766,30,1.4978,0.3835,30
Avg LBD,20,5,"n=20, k=5",5.9693,3.4195,30,1.9679,1.3801,30
Avg LBD,20,7,"n=20, k=7",8.0156,4.2734,30,1.9656,1.1314,30
Avg LBD,20,10,"n=20, k=10",7.8788,4.8867,27,2.3103,1.1937,30
Avg LBD,50,3,"n=50, k=3",4.2293,3.1055,25,3.8361,2.8734,25
Avg LBD,50,5,"n=50, k=5",10.8964,2.0495,18,10.6465,2.2702,20
Avg LBD,50,7,"n=50, k=7",11.0068,2.3833,7,13.6037,4.7319,24
Avg LBD,50,10,"n=50, k=10",10.7392,3.8039,5,16.6896,4.6732,22
Avg LBD,50,15,"n=50, k=15",11.7323,3.3754,5,17.9374,7.0298,23
Avg LBD,100,5,"n=100, k=5",10.9983,0.8373,11,17.3633,6.1752,18
Avg LBD,100,7,"n=100, k=7",,,0,22.8882,8.096,18
Avg LBD,100,10,"n=100, k=10",,,0,31.0533,8.6394,19
Avg LBD,100,15,"n=100, k=15",,,0,35.9125,12.89,17
Avg LBD,100,20,"n=100, k=20",,,0,40.0772,12.3514,16
Avg LBD,150,7,"n=150, k=7",,,0,29.5892,6.7971,11
Avg LBD,150,10,"n=150, k=10",,,0,44.0469,16.915,6
Avg LBD,150,15,"n=150, k=15",,,0,49.5785,21.8576,4
Avg LBD,150,20,"n=150, k=20",,,0,42.8847,15.1821,2
Avg nogood length,20,3,"n=20, k=3",2.9371,1.7603,30,1.752,0.6505,30
Avg nogood length,20,5,"n=20, k=5",17.9739,9.5075,30,2.8396,2.0619,30
Avg nogood length,20,7,"n=20, k=7",33.0367,16.3169,30,3.6266,2.9905,30
Avg nogood length,20,10,"n=20, k=10",49.7292,25.7193,27,6.6461,5.2119,30
Avg nogood length,50,3,"n=50, k=3",9.6909,6.8154,25,5.3413,8.3902,25
Avg nogood length,50,5,"n=50, k=5",37.1905,12.259,18,17.9545,4.0241,20
Avg nogood length,50,7,"n=50, k=7",65.2421,19.0818,7,27.2316,7.0945,24
Avg nogood length,50,10,"n=50, k=10",99.6045,48.9425,5,40.5947,15.2145,22
Avg nogood length,50,15,"n=50, k=15",206.1008,69.564,5,65.5309,18.967,23
Avg nogood length,100,5,"n=100, k=5",38.6649,11.3646,11,29.8968,6.4667,18
Avg nogood length,100,7,"n=100, k=7",,,0,39.836,12.1656,18
Avg nogood length,100,10,"n=100, k=10",,,0,65.859,19.9285,19
Avg nogood length,100,15,"n=100, k=15",,,0,102.1706,47.1163,17
Avg nogood length,100,20,"n=100, k=20",,,0,147.0413,53.5361,16
Avg nogood length,150,7,"n=150, k=7",,,0,48.5466,8.7472,11
Avg nogood length,150,10,"n=150, k=10",,,0,91.356,19.824,6
Avg nogood length,150,15,"n=150, k=15",,,0,144.6398,53.0959,4
Avg nogood length,150,20,"n=150, k=20",,,0,190.4412,90.6371,2
Nogoods learned (total),20,3,"n=20, k=3",712.5,481.25,30,642.5,417.5,30
Nogoods learned (total),20,5,"n=20, k=5",2323.5,6040.25,30,502.0,263.25,30
Nogoods learned (total),20,7,"n=20, k=7",6072.5,80382.5,30,492.5,165.75,30
Nogoods learned (total),20,10,"n=20, k=10",7050.0,54636.0,27,533.0,238.75,30
Nogoods learned (total),50,3,"n=50, k=3",1544.0,2898.0,25,1466.0,1748.0,25
Nogoods learned (total),50,5,"n=50, k=5",129977.5,760855.25,18,3390.0,2843.25,20
Nogoods learned (total),50,7,"n=50, k=7",145606.0,888175.0,7,4955.0,9051.5,24
Nogoods learned (total),50,10,"n=50, k=10",233708.0,197888.0,5,6078.0,5887.75,22
Nogoods learned (total),50,15,"n=50, k=15",79463.0,199183.0,5,6185.0,5290.5,23
Nogoods learned (total),100,5,"n=100, k=5",988009.0,1276682.5,11,35390.5,49100.25,18
Nogoods learned (total),100,7,"n=100, k=7",,,0,104341.5,152073.5,18
Nogoods learned (total),100,10,"n=100, k=10",,,0,191032.0,626923.0,19
Nogoods learned (total),100,15,"n=100, k=15",,,0,176155.0,677087.0,17
Nogoods learned (total),100,20,"n=100, k=20",,,0,180439.5,338241.5,16
Nogoods learned (total),150,7,"n=150, k=7",,,0,940666.0,448472.5,11
Nogoods learned (total),150,10,"n=150, k=10",,,0,574477.0,602148.0,6
Nogoods learned (total),150,15,"n=150, k=15",,,0,506286.0,274013.75,4
Nogoods learned (total),150,20,"n=150, k=20",,,0,810764.5,485854.5,2
