metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Solve time (s) [solver-reported],20,3,"n=20, k=3",0.035,0.0288,30,0.0292,0.0167,30,0.0256,0.0313,30,0.0256,0.0276,30
Solve time (s) [solver-reported],20,5,"n=20, k=5",0.1923,0.539,30,0.0371,0.0176,30,0.0241,0.0113,30,0.0235,0.0085,30
Solve time (s) [solver-reported],20,7,"n=20, k=7",0.8112,14.2145,30,0.0516,0.0182,30,0.0344,0.0139,30,0.0327,0.0137,30
Solve time (s) [solver-reported],20,10,"n=20, k=10",1.3609,17.7084,27,0.0751,0.0272,30,0.0488,0.0258,30,0.0524,0.0218,30
Solve time (s) [solver-reported],50,3,"n=50, k=3",0.1759,0.4952,25,0.2221,0.3312,25,0.1293,1.1262,25,0.1912,3.0356,25
Solve time (s) [solver-reported],50,5,"n=50, k=5",27.5581,231.1006,18,0.7114,0.5793,20,0.0533,1.033,20,0.0593,2.9531,22
Solve time (s) [solver-reported],50,7,"n=50, k=7",62.5834,385.9496,7,1.2766,2.4018,24,0.0954,2.0805,24,0.0936,0.5146,23
Solve time (s) [solver-reported],50,10,"n=50, k=10",115.595,90.8065,5,2.0264,1.9988,22,0.2001,1.0977,23,0.303,3.7313,23
Solve time (s) [solver-reported],50,15,"n=50, k=15",41.3233,143.4943,5,2.337,1.893,23,0.2312,0.5779,23,0.1875,3.1778,23
Solve time (s) [solver-reported],100,5,"n=100, k=5",426.9714,826.2432,11,19.9965,21.9305,18,1.5695,17.8346,18,6.2529,12.3246,19
Solve time (s) [solver-reported],100,7,"n=100, k=7",,,0,54.9174,82.1837,18,0.3654,3.9102,16,0.6571,4.8249,17
Solve time (s) [solver-reported],100,10,"n=100, k=10",,,0,161.6188,398.8525,19,0.4497,5.0252,18,1.4982,11.5028,18
Solve time (s) [solver-reported],100,15,"n=100, k=15",,,0,139.7593,574.1103,17,0.424,0.7024,17,2.6433,10.341,19
Solve time (s) [solver-reported],100,20,"n=100, k=20",,,0,191.5312,394.1556,16,1.0978,5.3549,19,1.4557,8.8835,19
Solve time (s) [solver-reported],150,7,"n=150, k=7",,,0,959.3495,468.6673,11,8.5197,22.8304,19,19.2063,30.9418,20
Solve time (s) [solver-reported],150,10,"n=150, k=10",,,0,814.745,614.6982,6,6.7821,27.0938,18,9.6143,19.1224,20
Solve time (s) [solver-reported],150,15,"n=150, k=15",,,0,1007.6889,705.8116,4,4.3275,15.8781,20,19.403,28.5385,20
Solve time (s) [solver-reported],150,20,"n=150, k=20",,,0,1316.6102,464.2186,2,27.6214,47.0458,19,9.1286,25.774,18
Wall-clock time (s),20,3,"n=20, k=3",1.7,0.1975,30,9.39,2.51,30,2.065,0.585,30,5.445,3.6225,30
Wall-clock time (s),20,5,"n=20, k=5",0.575,0.5575,30,1.94,0.245,30,10.665,3.3075,30,7.005,1.8525,30
Wall-clock time (s),20,7,"n=20, k=7",1.24,14.045,30,1.69,0.1875,30,1.87,5.7975,30,0.455,2.93,30
Wall-clock time (s),20,10,"n=20, k=10",5.61,16.37,27,1.88,0.205,30,5.935,9.2975,30,7.62,1.2825,30
Wall-clock time (s),50,3,"n=50, k=3",1.77,0.6,25,6.38,5.45,25,2.89,7.5,25,5.03,2.38,25
Wall-clock time (s),50,5,"n=50, k=5",29.895,232.995,18,2.585,0.635,20,2.98,1.7,20,7.945,2.895,22
Wall-clock time (s),50,7,"n=50, k=7",66.04,385.375,7,3.0,2.79,24,5.095,7.8575,24,8.98,3.265,23
Wall-clock time (s),50,10,"n=50, k=10",117.62,95.14,5,3.86,2.65,22,13.18,6.225,23,7.09,2.875,23
Wall-clock time (s),50,15,"n=50, k=15",42.18,143.79,5,4.04,2.29,23,2.13,0.625,23,6.04,4.87,23
Wall-clock time (s),100,5,"n=100, k=5",432.31,829.93,11,21.885,21.9725,18,6.81,21.71,18,13.13,12.215,19
