variant,config_n,config_k,config,median_par2,n_instances,n_optimal,par2_time_col
V0,20,3,"n=20, k=3",1.7,30,30,wall_clock_time
V0,20,5,"n=20, k=5",0.575,30,30,wall_clock_time
V0,20,7,"n=20, k=7",1.24,30,30,wall_clock_time
V0,20,10,"n=20, k=10",6.175,30,27,wall_clock_time
V0,50,3,"n=50, k=3",1.77,25,25,wall_clock_time
V0,50,5,"n=50, k=5",110.68,25,18,wall_clock_time
V0,50,7,"n=50, k=7",3600.0,25,7,wall_clock_time
V0,50,10,"n=50, k=10",3600.0,25,5,wall_clock_time
V0,50,15,"n=50, k=15",3600.0,25,5,wall_clock_time
V0,100,5,"n=100, k=5",1413.68,20,11,wall_clock_time
V0,100,7,"n=100, k=7",3600.0,20,0,wall_clock_time
V0,100,10,"n=100, k=10",3600.0,20,0,wall_clock_time
V0,100,15,"n=100, k=15",3600.0,20,0,wall_clock_time
V0,100,20,"n=100, k=20",3600.0,20,0,wall_clock_time
V0,150,7,"n=150, k=7",3600.0,20,0,wall_clock_time
V0,150,10,"n=150, k=10",3600.0,20,0,wall_clock_time
V0,150,15,"n=150, k=15",3600.0,20,0,wall_clock_time
V0,150,20,"n=150, k=20",3600.0,20,0,wall_clock_time
V1,20,3,"n=20, k=3",9.39,30,30,wall_clock_time
V1,20,5,"n=20, k=5",1.94,30,30,wall_clock_time
V1,20,7,"n=20, k=7",1.69,30,30,wall_clock_time
V1,20,10,"n=20, k=10",1.88,30,30,wall_clock_time
V1,50,3,"n=50, k=3",6.38,25,25,wall_clock_time
V1,50,5,"n=50, k=5",2.88,25,20,wall_clock_time
V1,50,7,"n=50, k=7",3.02,25,24,wall_clock_time
V1,50,10,"n=50, k=10",3.89,25,22,wall_clock_time
V1,50,15,"n=50, k=15",4.1,25,23,wall_clock_time
V1,100,5,"n=100, k=5",24.86,20,18,wall_clock_time
V1,100,7,"n=100, k=7",66.195,20,18,wall_clock_time
V1,100,10,"n=100, k=10",195.94,20,19,wall_clock_time
V1,100,15,"n=100, k=15",198.12,20,17,wall_clock_time
V1,100,20,"n=100, k=20",328.04,20,16,wall_clock_time
V1,150,7,"n=150, k=7",1452.025,20,11,wall_clock_time
V1,150,10,"n=150, k=10",3600.0,20,6,wall_clock_time
V1,150,15,"n=150, k=15",3600.0,20,4,wall_clock_time
V1,150,20,"n=150, k=20",3600.0,20,2,wall_clock_time
V2,20,3,"n=20, k=3",2.065,30,30,wall_clock_time
V2,20,5,"n=20, k=5",10.665,30,30,wall_clock_time
V2,20,7,"n=20, k=7",1.87,30,30,wall_clock_time
V2,20,10,"n=20, k=10",5.935,30,30,wall_clock_time
V2,50,3,"n=50, k=3",2.89,25,25,wall_clock_time
V2,50,5,"n=50, k=5",3.36,25,20,wall_clock_time
V2,50,7,"n=50, k=7",5.45,25,24,wall_clock_time
V2,50,10,"n=50, k=10",13.4,25,23,wall_clock_time
V2,50,15,"n=50, k=15",2.25,25,23,wall_clock_time
V2,100,5,"n=100, k=5",11.16,20,18,wall_clock_time
V2,100,7,"n=100, k=7",5.57,20,16,wall_clock_time
V2,100,10,"n=100, k=10",9.485,20,18,wall_clock_time
V2,100,15,"n=100, k=15",2.985,20,17,wall_clock_time
V2,100,20,"n=100, k=20",8.325,20,19,wall_clock_time
V2,150,7,"n=150, k=7",18.23,20,19,wall_clock_time
V2,150,10,"n=150, k=10",25.115,20,18,wall_clock_time
V2,150,15,"n=150, k=15",6.62,20,20,wall_clock_time
V2,150,20,"n=150, k=20",34.37,20,19,wall_clock_time
V3,20,3,"n=20, k=3",5.445,30,30,wall_clock_time
V3,20,5,"n=20, k=5",7.005,30,30,wall_clock_time
V3,20,7,"n=20, k=7",0.455,30,30,wall_clock_time
V3,20,10,"n=20, k=10",7.62,30,30,wall_clock_time
V3,50,3,"n=50, k=3",5.03,25,25,wall_clock_time
V3,50,5,"n=50, k=5",7.98,25,22,wall_clock_time
V3,50,7,"n=50, k=7",9.83,25,23,wall_clock_time
V3,50,10,"n=50, k=10",7.12,25,23,wall_clock_time
V3,50,15,"n=50, k=15",6.5,25,23,wall_clock_time
V3,100,5,"n=100, k=5",13.685,20,19,wall_clock_time
V3,100,7,"n=100, k=7",8.9,20,17,wall_clock_time
V3,100,10,"n=100, k=10",9.98,20,18,wall_clock_time
V3,100,15,"n=100, k=15",9.71,20,19,wall_clock_time
V3,100,20,"n=100, k=20",8.16,20,19,wall_clock_time
V3,150,7,"n=150, k=7",26.345,20,20,wall_clock_time
V3,150,10,"n=150, k=10",14.16,20,20,wall_clock_time
V3,150,15,"n=150, k=15",24.04,20,20,wall_clock_time
V3,150,20,"n=150, k=20",20.56,20,18,wall_clock_time
