variant,config_n,config_k,config,total,optimal,satisfiable,timeout_with_solution,timeout_no_solution,unsatisfiable,unknown,error,proven_optimal_rate
V0,20,3,"n=20, k=3",30,30,0,0,0,0,0,0,1.0
V0,20,5,"n=20, k=5",30,30,0,0,0,0,0,0,1.0
V0,20,7,"n=20, k=7",30,30,0,0,0,0,0,0,1.0
V0,20,10,"n=20, k=10",30,27,0,0,0,0,0,3,0.9
V0,50,3,"n=50, k=3",25,25,0,0,0,0,0,0,1.0
V0,50,5,"n=50, k=5",25,18,7,0,0,0,0,0,0.72
V0,50,7,"n=50, k=7",25,7,9,0,0,0,0,9,0.28
V0,50,10,"n=50, k=10",25,5,3,0,0,0,0,17,0.2
V0,50,15,"n=50, k=15",25,5,0,0,0,0,0,20,0.2
V0,100,5,"n=100, k=5",20,11,9,0,0,0,0,0,0.55
V0,100,7,"n=100, k=7",20,0,20,0,0,0,0,0,0.0
V0,100,10,"n=100, k=10",20,0,16,0,0,0,0,4,0.0
V0,100,15,"n=100, k=15",20,0,9,0,0,0,0,11,0.0
V0,100,20,"n=100, k=20",20,0,4,0,0,0,0,16,0.0
V0,150,7,"n=150, k=7",20,0,9,0,0,0,11,0,0.0
V0,150,10,"n=150, k=10",20,0,14,0,0,0,6,0,0.0
V0,150,15,"n=150, k=15",20,0,20,0,0,0,0,0,0.0
V0,150,20,"n=150, k=20",20,0,17,0,0,0,0,3,0.0
V1,20,3,"n=20, k=3",30,30,0,0,0,0,0,0,1.0
V1,20,5,"n=20, k=5",30,30,0,0,0,0,0,0,1.0
V1,20,7,"n=20, k=7",30,30,0,0,0,0,0,0,1.0
V1,20,10,"n=20, k=10",30,30,0,0,0,0,0,0,1.0
V1,50,3,"n=50, k=3",25,25,0,0,0,0,0,0,1.0
V1,50,5,"n=50, k=5",25,20,4,0,0,0,0,1,0.8
V1,50,7,"n=50, k=7",25,24,0,0,0,0,0,1,0.96
V1,50,10,"n=50, k=10",25,22,2,0,0,0,0,1,0.88
V1,50,15,"n=50, k=15",25,23,1,0,0,0,0,1,0.92
V1,100,5,"n=100, k=5",20,18,2,0,0,0,0,0,0.9
V1,100,7,"n=100, k=7",20,18,2,0,0,0,0,0,0.9
V1,100,10,"n=100, k=10",20,19,1,0,0,0,0,0,0.95
V1,100,15,"n=100, k=15",20,17,1,0,0,0,2,0,0.85
V1,100,20,"n=100, k=20",20,16,1,0,0,0,2,1,0.8
V1,150,7,"n=150, k=7",20,11,0,0,0,0,9,0,0.55
V1,150,10,"n=150, k=10",20,6,0,0,0,0,14,0,0.3
V1,150,15,"n=150, k=15",20,4,0,0,0,0,16,0,0.2
V1,150,20,"n=150, k=20",20,2,0,0,0,0,18,0,0.1
V2,20,3,"n=20, k=3",30,30,0,0,0,0,0,0,1.0
V2,20,5,"n=20, k=5",30,30,0,0,0,0,0,0,1.0
V2,20,7,"n=20, k=7",30,30,0,0,0,0,0,0,1.0
V2,20,10,"n=20, k=10",30,30,0,0,0,0,0,0,1.0
V2,50,3,"n=50, k=3",25,25,0,0,0,0,0,0,1.0
V2,50,5,"n=50, k=5",25,20,4,0,0,0,0,1,0.8
V2,50,7,"n=50, k=7",25,24,1,0,0,0,0,0,0.96
V2,50,10,"n=50, k=10",25,23,1,0,0,0,0,1,0.92
V2,50,15,"n=50, k=15",25,23,0,0,0,0,0,2,0.92
V2,100,5,"n=100, k=5",20,18,0,0,0,0,2,0,0.9
V2,100,7,"n=100, k=7",20,16,2,0,0,0,2,0,0.8
V2,100,10,"n=100, k=10",20,18,0,0,0,0,2,0,0.9
V2,100,15,"n=100, k=15",20,17,2,0,0,0,1,0,0.85
V2,100,20,"n=100, k=20",20,19,0,0,0,0,1,0,0.95
V2,150,7,"n=150, k=7",20,19,0,0,0,0,1,0,0.95
V2,150,10,"n=150, k=10",20,18,0,0,0,0,2,0,0.9
V2,150,15,"n=150, k=15",20,20,0,0,0,0,0,0,1.0
V2,150,20,"n=150, k=20",20,19,0,0,0,0,1,0,0.95
V3,20,3,"n=20, k=3",30,30,0,0,0,0,0,0,1.0
V3,20,5,"n=20, k=5",30,30,0,0,0,0,0,0,1.0
V3,20,7,"n=20, k=7",30,30,0,0,0,0,0,0,1.0
V3,20,10,"n=20, k=10",30,30,0,0,0,0,0,0,1.0
V3,50,3,"n=50, k=3",25,25,0,0,0,0,0,0,1.0
V3,50,5,"n=50, k=5",25,22,3,0,0,0,0,0,0.88
V3,50,7,"n=50, k=7",25,23,2,0,0,0,0,0,0.92
V3,50,10,"n=50, k=10",25,23,0,0,0,0,0,2,0.92
V3,50,15,"n=50, k=15",25,23,0,0,0,0,0,2,0.92
V3,100,5,"n=100, k=5",20,19,0,0,0,0,1,0,0.95
V3,100,7,"n=100, k=7",20,17,2,0,0,0,1,0,0.85
V3,100,10,"n=100, k=10",20,18,2,0,0,0,0,0,0.9
V3,100,15,"n=100, k=15",20,19,0,0,0,0,1,0,0.95
V3,100,20,"n=100, k=20",20,19,1,0,0,0,0,0,0.95
V3,150,7,"n=150, k=7",20,20,0,0,0,0,0,0,1.0
V3,150,10,"n=150, k=10",20,20,0,0,0,0,0,0,1.0
V3,150,15,"n=150, k=15",20,20,0,0,0,0,0,0,1.0
V3,150,20,"n=150, k=20",20,18,0,0,0,0,2,0,0.9
