propagator_variant,config_n,config_p,instance,avg_depth_at_failure,circuit_conflict_rate,circuit_pruning_rate
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0017.fzn,140.21294206170052,0.003867104298334439,0.12312464355133443
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0018.fzn,139.73186119873816,0.00443649307118682,0.09075683959348475
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0003.fzn,139.5506329113924,0.005424469413233458,0.08739388264669164
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0005.fzn,140.92102184087364,0.006730294726010857,0.10593651893617245
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0014.fzn,140.909169550173,0.003565194327763488,0.09546763876809583
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0011.fzn,139.7449567723343,0.004836371745553883,0.12994555016632287
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0001.fzn,143.6404348693397,0.00691127973794214,0.09305273693846713
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0019.fzn,140.73862622658342,0.004068714453191636,0.11899447221042622
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0006.fzn,142.4162432388133,0.00919256548817706,0.09487734080069189
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0016.fzn,146.224853990915,0.007886124565968891,0.08839777591840599
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0002.fzn,123.89102564102564,0.0018444785357678085,0.10509093811242451
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0000.fzn,140.76923076923077,0.0028602431206652566,0.10969432401754149
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0004.fzn,131.84094488188975,0.006339666343859509,0.15101634336032269
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0010.fzn,136.96852871754524,0.0030068464308188746,0.10100496330748376
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0008.fzn,140.9070093298247,0.005926794637305122,0.10222439625121783
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0013.fzn,137.79027902790278,0.005232199454645637,0.11308332430688663
V0,150,15,pumpkin-v0/random/n150_p015/instance_n150_p0.150_0015.fzn,139.169678147939,0.004031097034264325,0.09731423323230932
V0,50,15,pumpkin-v0/random/n50_p015/instance_n50_p0.150_0015.fzn,48.5010101010101,0.05225929054054054,0.12204391891891891
