propagator_variant,config_n,config_p,instance,hall_circuit_fire_rate,avg_tight_hall_set_size_v3,gac_pruning_rate,avg_scc_size_v3,avg_vars_involved_v3,circuit_alldiff_conflict_rate
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0011.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0004.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0002.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0007.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0014.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0008.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0016.fzn,0.0,5.24,0.5,19.0,12.0,0.0
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0019.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0009.fzn,0.0,6.0,0.5,10.5,5.75,0.0
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0012.fzn,,,0.0,,,1.0
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0015.fzn,,,0.0,,,1.0
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0005.fzn,,,0.0,,,1.0
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0000.fzn,,,0.0,,,1.0
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0001.fzn,0.0,5.365853658536586,0.5,12.0,5.75,0.0
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0003.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0013.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0018.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0017.fzn,0.0,4.955773955773956,0.524822695035461,9.85135135135135,3.7432432432432434,0.0425531914893617
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0017.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0001.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0010.fzn,,,,,,
V3,20,15,pumpkin-v3/random/n20_p015/instance_n20_p0.150_0006.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0012.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0005.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0011.fzn,,,0.0,,,1.0
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0018.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0009.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0006.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0007.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0013.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0014.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0000.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0002.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0016.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0008.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0010.fzn,,,,,,
V3,20,10,pumpkin-v3/random/n20_p010/instance_n20_p0.100_0004.fzn,,,,,,
