variant,config_n,config_p,config,median_par2,n_instances,n_optimal,par2_time_col
V0,20,5,"n=20, p=5",0.415,20,0,wall_clock_time
V0,20,10,"n=20, p=10",6.6,20,0,wall_clock_time
V0,20,15,"n=20, p=15",0.47,20,3,wall_clock_time
V0,50,5,"n=50, p=5",3.675,20,0,wall_clock_time
V0,50,10,"n=50, p=10",600.0,20,5,wall_clock_time
V0,50,15,"n=50, p=15",600.0,20,6,wall_clock_time
V0,100,5,"n=100, p=5",600.0,20,0,wall_clock_time
V0,100,10,"n=100, p=10",600.0,20,0,wall_clock_time
V0,100,15,"n=100, p=15",600.0,20,2,wall_clock_time
V0,150,5,"n=150, p=5",600.0,20,0,wall_clock_time
V0,150,10,"n=150, p=10",600.0,20,0,wall_clock_time
V0,150,15,"n=150, p=15",600.0,20,0,wall_clock_time
V1,20,5,"n=20, p=5",4.935,20,0,wall_clock_time
V1,20,10,"n=20, p=10",6.025,20,0,wall_clock_time
V1,20,15,"n=20, p=15",2.105,20,3,wall_clock_time
V1,50,5,"n=50, p=5",7.345,20,0,wall_clock_time
V1,50,10,"n=50, p=10",4.265,20,15,wall_clock_time
V1,50,15,"n=50, p=15",1.72,20,20,wall_clock_time
V1,100,5,"n=100, p=5",0.46,20,4,wall_clock_time
V1,100,10,"n=100, p=10",3.045,20,18,wall_clock_time
V1,100,15,"n=100, p=15",5.42,20,20,wall_clock_time
V1,150,5,"n=150, p=5",6.07,19,14,wall_clock_time
V1,150,10,"n=150, p=10",23.13,20,15,wall_clock_time
V1,150,15,"n=150, p=15",90.455,20,11,wall_clock_time
V2,20,5,"n=20, p=5",3.965,20,0,wall_clock_time
V2,20,10,"n=20, p=10",2.75,20,0,wall_clock_time
V2,20,15,"n=20, p=15",0.56,20,3,wall_clock_time
V2,50,5,"n=50, p=5",3.85,20,0,wall_clock_time
V2,50,10,"n=50, p=10",0.23,20,15,wall_clock_time
V2,50,15,"n=50, p=15",6.125,20,20,wall_clock_time
V2,100,5,"n=100, p=5",4.675,20,4,wall_clock_time
V2,100,10,"n=100, p=10",4.14,20,20,wall_clock_time
V2,100,15,"n=100, p=15",1.86,20,20,wall_clock_time
V2,150,5,"n=150, p=5",2.08,20,18,wall_clock_time
V2,150,10,"n=150, p=10",6.835,20,20,wall_clock_time
V2,150,15,"n=150, p=15",7.34,20,20,wall_clock_time
V3,20,5,"n=20, p=5",4.11,20,0,wall_clock_time
V3,20,10,"n=20, p=10",1.74,20,0,wall_clock_time
V3,20,15,"n=20, p=15",0.755,20,3,wall_clock_time
V3,50,5,"n=50, p=5",8.375,20,0,wall_clock_time
V3,50,10,"n=50, p=10",1.905,20,15,wall_clock_time
V3,50,15,"n=50, p=15",2.425,20,20,wall_clock_time
V3,100,5,"n=100, p=5",7.71,20,4,wall_clock_time
V3,100,10,"n=100, p=10",1.85,20,20,wall_clock_time
V3,100,15,"n=100, p=15",9.31,20,20,wall_clock_time
V3,150,5,"n=150, p=5",4.335,20,18,wall_clock_time
V3,150,10,"n=150, p=10",7.47,20,20,wall_clock_time
V3,150,15,"n=150, p=15",14.89,20,20,wall_clock_time
