variant,config_n,config_p,config,total,optimal,satisfiable,timeout_with_solution,timeout_no_solution,unsatisfiable,unknown,error,proven_optimal_rate
V0,20,5,"n=20, p=5",20,0,0,0,0,20,0,0,0.0
V0,20,10,"n=20, p=10",20,0,0,0,0,20,0,0,0.0
V0,20,15,"n=20, p=15",20,3,0,0,0,17,0,0,0.15
V0,50,5,"n=50, p=5",20,0,0,0,0,20,0,0,0.0
V0,50,10,"n=50, p=10",20,5,7,0,0,3,5,0,0.25
V0,50,15,"n=50, p=15",20,6,9,0,0,0,5,0,0.3
V0,100,5,"n=100, p=5",20,0,1,0,0,8,11,0,0.0
V0,100,10,"n=100, p=10",20,0,12,0,0,0,8,0,0.0
V0,100,15,"n=100, p=15",20,2,13,0,0,0,5,0,0.1
V0,150,5,"n=150, p=5",20,0,3,0,0,2,15,0,0.0
V0,150,10,"n=150, p=10",20,0,8,0,0,0,12,0,0.0
V0,150,15,"n=150, p=15",20,0,13,0,0,0,7,0,0.0
V1,20,5,"n=20, p=5",20,0,0,0,0,20,0,0,0.0
V1,20,10,"n=20, p=10",20,0,0,0,0,20,0,0,0.0
V1,20,15,"n=20, p=15",20,3,0,0,0,17,0,0,0.15
V1,50,5,"n=50, p=5",20,0,0,0,0,20,0,0,0.0
V1,50,10,"n=50, p=10",20,15,0,0,0,5,0,0,0.75
V1,50,15,"n=50, p=15",20,20,0,0,0,0,0,0,1.0
V1,100,5,"n=100, p=5",20,4,0,0,0,16,0,0,0.2
V1,100,10,"n=100, p=10",20,18,2,0,0,0,0,0,0.9
V1,100,15,"n=100, p=15",20,20,0,0,0,0,0,0,1.0
V1,150,5,"n=150, p=5",19,14,3,0,0,2,0,0,0.7368
V1,150,10,"n=150, p=10",20,15,5,0,0,0,0,0,0.75
V1,150,15,"n=150, p=15",20,11,9,0,0,0,0,0,0.55
V2,20,5,"n=20, p=5",20,0,0,0,0,20,0,0,0.0
V2,20,10,"n=20, p=10",20,0,0,0,0,20,0,0,0.0
V2,20,15,"n=20, p=15",20,3,0,0,0,17,0,0,0.15
V2,50,5,"n=50, p=5",20,0,0,0,0,20,0,0,0.0
V2,50,10,"n=50, p=10",20,15,0,0,0,5,0,0,0.75
V2,50,15,"n=50, p=15",20,20,0,0,0,0,0,0,1.0
V2,100,5,"n=100, p=5",20,4,0,0,0,16,0,0,0.2
V2,100,10,"n=100, p=10",20,20,0,0,0,0,0,0,1.0
V2,100,15,"n=100, p=15",20,20,0,0,0,0,0,0,1.0
V2,150,5,"n=150, p=5",20,18,0,0,0,2,0,0,0.9
V2,150,10,"n=150, p=10",20,20,0,0,0,0,0,0,1.0
V2,150,15,"n=150, p=15",20,20,0,0,0,0,0,0,1.0
V3,20,5,"n=20, p=5",20,0,0,0,0,20,0,0,0.0
V3,20,10,"n=20, p=10",20,0,0,0,0,20,0,0,0.0
V3,20,15,"n=20, p=15",20,3,0,0,0,17,0,0,0.15
V3,50,5,"n=50, p=5",20,0,0,0,0,20,0,0,0.0
V3,50,10,"n=50, p=10",20,15,0,0,0,5,0,0,0.75
V3,50,15,"n=50, p=15",20,20,0,0,0,0,0,0,1.0
V3,100,5,"n=100, p=5",20,4,0,0,0,16,0,0,0.2
V3,100,10,"n=100, p=10",20,20,0,0,0,0,0,0,1.0
V3,100,15,"n=100, p=15",20,20,0,0,0,0,0,0,1.0
V3,150,5,"n=150, p=5",20,18,0,0,0,2,0,0,0.9
V3,150,10,"n=150, p=10",20,20,0,0,0,0,0,0,1.0
V3,150,15,"n=150, p=15",20,20,0,0,0,0,0,0,1.0
