metric,config_n,config_p,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Avg LBD,20,15,"n=20, p=15",2.0,0.8345,3,2.2683,0.3886,3,0.0,1.2,3,0.0,1.2,3
Avg LBD,50,10,"n=50, p=10",9.3173,1.8472,5,5.8158,1.9851,15,10.625,3.5889,15,10.625,3.813,15
Avg LBD,50,15,"n=50, p=15",14.2991,5.2361,6,6.4187,1.856,20,15.3772,2.7525,20,15.2917,2.4729,20
Avg LBD,100,5,"n=100, p=5",,,0,12.7866,3.7896,4,21.5557,9.3991,4,20.9143,8.1066,4
Avg LBD,100,10,"n=100, p=10",,,0,15.2554,6.7632,18,36.7133,4.2149,20,34.1136,5.2961,20
Avg LBD,100,15,"n=100, p=15",29.3905,1.8986,2,13.3414,4.1933,20,40.9182,3.7666,20,37.1213,5.1095,20
Avg LBD,150,5,"n=150, p=5",,,0,21.0165,7.8553,14,47.4011,7.1454,18,45.5898,6.5904,18
Avg LBD,150,10,"n=150, p=10",,,0,23.7357,5.9487,15,64.1806,7.905,20,59.6146,4.9359,20
Avg LBD,150,15,"n=150, p=15",,,0,34.741,18.6473,11,63.2974,5.9498,20,58.8693,4.3826,20
Avg nogood length,20,15,"n=20, p=15",2.5833,0.9223,3,2.4634,0.6227,3,0.0,1.2,3,0.0,1.2,3
Avg nogood length,50,10,"n=50, p=10",26.1477,13.9923,5,7.8411,4.2009,15,25.0,10.8655,15,25.5,11.0292,15
Avg nogood length,50,15,"n=50, p=15",37.359,8.6631,6,10.8534,5.7096,20,36.7795,11.096,20,37.2667,9.9897,20
Avg nogood length,100,5,"n=100, p=5",,,0,18.3913,10.6958,4,34.6429,23.5497,4,33.8857,24.8639,4
Avg nogood length,100,10,"n=100, p=10",,,0,30.4981,20.6125,18,71.7525,11.4141,20,67.5507,11.8507,20
Avg nogood length,100,15,"n=100, p=15",57.6542,7.8754,2,31.5863,13.5256,20,80.9369,8.2079,20,76.3083,9.2619,20
Avg nogood length,150,5,"n=150, p=5",,,0,36.232,12.8821,14,93.8204,11.5098,18,89.4082,12.2529,18
Avg nogood length,150,10,"n=150, p=10",,,0,48.3495,24.8255,15,109.4909,7.6056,20,104.8166,7.2907,20
Avg nogood length,150,15,"n=150, p=15",,,0,65.6568,114.0378,11,125.0672,24.0429,20,120.4081,28.5614,20
Nogoods learned,20,15,"n=20, p=15",12.0,49.0,3,44.0,89.5,3,0.0,5.0,3,0.0,5.0,3
Nogoods learned,50,10,"n=50, p=10",20410.0,113167.0,5,276.0,185.5,15,5.0,6.5,15,5.0,6.5,15
Nogoods learned,50,15,"n=50, p=15",13541.0,64240.0,6,584.0,353.75,20,14.5,21.75,20,14.5,21.75,20
Nogoods learned,100,5,"n=100, p=5",,,0,680.5,759.25,4,6.5,11.0,4,6.0,11.75,4
Nogoods learned,100,10,"n=100, p=10",,,0,2422.5,1504.75,18,52.5,37.25,20,52.5,36.75,20
Nogoods learned,100,15,"n=100, p=15",135788.0,134617.0,2,3721.5,1714.25,20,81.0,44.25,20,81.0,43.25,20
Nogoods learned,150,5,"n=150, p=5",,,0,2441.0,1514.5,14,53.0,51.75,18,53.0,51.75,18
Nogoods learned,150,10,"n=150, p=10",,,0,5985.0,2705.0,15,135.5,79.75,20,136.0,79.75,20
Nogoods learned,150,15,"n=150, p=15",,,0,17571.0,24318.5,11,223.5,131.5,20,221.5,130.75,20
Unit nogoods learned,20,15,"n=20, p=15",4.0,2.0,3,10.0,5.5,3,0.0,0.5,3,0.0,0.5,3
Unit nogoods learned,50,10,"n=50, p=10",1.0,0.0,5,3.0,8.5,15,1.0,1.0,15,1.0,1.0,15
Unit nogoods learned,50,15,"n=50, p=15",1.0,0.0,6,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20
Unit nogoods learned,100,5,"n=100, p=5",,,0,5.5,4.5,4,0.5,1.0,4,0.5,1.0,4
Unit nogoods learned,100,10,"n=100, p=10",,,0,1.0,0.0,18,1.0,0.0,20,1.0,0.0,20
Unit nogoods learned,100,15,"n=100, p=15",1.0,0.0,2,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20
