metric,config_n,config_p,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Solve time (s) [solver],20,15,"n=20, p=15",0.001,0.0021,3,0.0026,0.004,3,0.0001,0.001,3,0.0001,0.0007,3
Solve time (s) [solver],50,10,"n=50, p=10",7.0692,42.1211,5,0.0584,0.0374,15,0.0116,0.0072,15,0.0121,0.0098,15
Solve time (s) [solver],50,15,"n=50, p=15",3.2977,19.0074,6,0.1495,0.0917,20,0.0406,0.0296,20,0.0599,0.0381,20
Solve time (s) [solver],100,5,"n=100, p=5",,,0,0.457,0.3807,4,0.1076,0.1382,4,0.0937,0.1255,4
Solve time (s) [solver],100,10,"n=100, p=10",,,0,2.1478,0.8111,18,0.625,0.2255,20,0.6603,0.2593,20
Solve time (s) [solver],100,15,"n=100, p=15",99.4766,98.6908,2,4.1459,1.1133,20,0.9904,0.3502,20,1.0696,0.3013,20
Solve time (s) [solver],150,5,"n=150, p=5",,,0,3.5072,0.648,14,0.7142,0.535,18,0.968,0.5862,18
Solve time (s) [solver],150,10,"n=150, p=10",,,0,14.8902,3.6701,15,3.251,0.9269,20,3.4477,1.3168,20
Solve time (s) [solver],150,15,"n=150, p=15",,,0,31.7766,25.8153,11,5.0416,1.3131,20,6.2525,1.6643,20
Wall-clock time (s),20,15,"n=20, p=15",0.23,1.105,3,2.11,2.635,3,0.57,3.095,3,0.92,0.535,3
Wall-clock time (s),50,10,"n=50, p=10",7.33,46.09,5,4.32,8.525,15,0.23,0.065,15,1.41,0.69,15
Wall-clock time (s),50,15,"n=50, p=15",8.815,20.7625,6,1.72,1.795,20,6.125,0.5725,20,2.425,2.4275,20
Wall-clock time (s),100,5,"n=100, p=5",,,0,3.165,4.0925,4,2.72,5.225,4,8.07,2.445,4
Wall-clock time (s),100,10,"n=100, p=10",,,0,2.955,2.4175,18,4.14,3.53,20,1.85,0.895,20
Wall-clock time (s),100,15,"n=100, p=15",105.395,98.935,2,5.42,2.2225,20,1.86,0.61,20,9.31,3.38,20
Wall-clock time (s),150,5,"n=150, p=5",,,0,5.99,2.46,14,2.2,0.965,18,4.335,7.195,18
Wall-clock time (s),150,10,"n=150, p=10",,,0,19.1,9.3,15,6.835,6.6825,20,7.47,1.5025,20
Wall-clock time (s),150,15,"n=150, p=15",,,0,38.61,24.65,11,7.34,2.61,20,14.89,6.5725,20
