metric,config_n,config_p,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Failures (backtracks),20,15,"n=20, p=15",12.0,49.0,3,44.0,89.5,3,0.0,5.0,3,0.0,5.0,3
Failures (backtracks),50,10,"n=50, p=10",20410.0,113167.0,5,276.0,185.5,15,5.0,6.5,15,5.0,6.5,15
Failures (backtracks),50,15,"n=50, p=15",13541.0,64240.0,6,584.0,353.75,20,14.5,21.75,20,14.5,21.75,20
Failures (backtracks),100,5,"n=100, p=5",,,0,680.5,759.25,4,6.5,11.0,4,6.0,11.75,4
Failures (backtracks),100,10,"n=100, p=10",,,0,2422.5,1504.75,18,52.5,37.25,20,52.5,36.75,20
Failures (backtracks),100,15,"n=100, p=15",135788.0,134617.0,2,3721.5,1714.25,20,81.0,44.25,20,81.0,43.25,20
Failures (backtracks),150,5,"n=150, p=5",,,0,2441.0,1514.5,14,53.0,51.75,18,53.0,51.75,18
Failures (backtracks),150,10,"n=150, p=10",,,0,5985.0,2705.0,15,135.5,79.75,20,136.0,79.75,20
Failures (backtracks),150,15,"n=150, p=15",,,0,17571.0,24318.5,11,223.5,131.5,20,221.5,130.75,20
Nodes explored,20,15,"n=20, p=15",93.0,86.5,3,229.0,164.5,3,75.0,37.0,3,75.0,39.0,3
Nodes explored,50,10,"n=50, p=10",25885.0,136241.0,5,3828.0,2143.0,15,1501.0,924.0,15,1487.0,921.0,15
Nodes explored,50,15,"n=50, p=15",19017.5,74003.75,6,11668.0,7478.25,20,6667.5,4719.75,20,6646.0,4735.75,20
Nodes explored,100,5,"n=100, p=5",,,0,12507.0,9786.0,4,5168.0,5618.5,4,5117.0,5546.0,4
Nodes explored,100,10,"n=100, p=10",,,0,70974.5,15533.25,18,43434.5,7603.0,20,43346.5,7477.0,20
Nodes explored,100,15,"n=100, p=15",210868.5,124564.5,2,133627.0,27216.75,20,80762.0,14467.5,20,80752.0,14563.0,20
Nodes explored,150,5,"n=150, p=5",,,0,67367.0,15389.75,14,32091.0,15653.75,18,32113.5,15550.25,18
Nodes explored,150,10,"n=150, p=10",,,0,274028.0,44855.0,15,155986.0,31651.25,20,155840.0,30959.5,20
Nodes explored,150,15,"n=150, p=15",,,0,559624.0,60644.5,11,313677.0,51187.5,20,313709.5,51265.25,20
Propagations,20,15,"n=20, p=15",2602.0,10880.0,3,1891.0,2772.5,3,395.0,321.0,3,392.0,265.5,3
Propagations,50,10,"n=50, p=10",12035679.0,75862178.0,5,23306.0,17021.0,15,5354.0,3705.0,15,5233.0,3551.0,15
Propagations,50,15,"n=50, p=15",6790889.5,26001642.5,6,66192.5,49572.5,20,22490.5,17260.5,20,21959.0,16909.0,20
Propagations,100,5,"n=100, p=5",,,0,81319.5,60812.25,4,16611.5,17841.0,4,16219.0,17521.5,4
Propagations,100,10,"n=100, p=10",,,0,409917.0,146455.0,18,146679.5,32513.5,20,143104.0,32310.0,20
Propagations,100,15,"n=100, p=15",125064641.5,122828988.5,2,892461.0,294519.5,20,298247.5,85975.0,20,292568.5,84584.75,20
Propagations,150,5,"n=150, p=5",,,0,413564.0,95863.75,14,98423.0,54451.75,18,95875.0,53456.0,18
Propagations,150,10,"n=150, p=10",,,0,1744745.0,682001.0,15,494022.0,195543.25,20,484250.5,192398.75,20
Propagations,150,15,"n=150, p=15",,,0,4169894.0,5062844.5,11,1166852.0,390091.75,20,1146036.0,384912.5,20
Peak search depth,20,15,"n=20, p=15",75.0,2.0,3,77.0,2.0,3,75.0,2.5,3,75.0,2.5,3
Peak search depth,50,10,"n=50, p=10",278.0,38.0,5,312.0,36.5,15,296.0,43.5,15,296.0,45.5,15
Peak search depth,50,15,"n=50, p=15",441.5,15.25,6,452.5,17.25,20,438.5,18.75,20,438.5,18.75,20
Peak search depth,100,5,"n=100, p=5",,,0,605.5,21.25,4,587.0,21.0,4,587.0,21.0,4
Peak search depth,100,10,"n=100, p=10",,,0,1122.5,33.5,18,1113.5,34.0,20,1114.0,33.0,20
Peak search depth,100,15,"n=100, p=15",1586.0,2.0,2,1616.5,40.25,20,1607.0,41.25,20,1611.0,40.5,20
Peak search depth,150,5,"n=150, p=5",,,0,1239.0,62.25,14,1214.0,48.75,18,1210.5,49.0,18
Peak search depth,150,10,"n=150, p=10",,,0,2304.0,99.5,15,2294.5,71.0,20,2295.0,64.75,20
Peak search depth,150,15,"n=150, p=15",,,0,3359.0,64.5,11,3334.0,68.25,20,3341.0,70.0,20
Restarts,20,15,"n=20, p=15",0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
Restarts,50,10,"n=50, p=10",0.0,0.0,5,0.0,0.0,15,0.0,0.0,15,0.0,0.0,15
Restarts,50,15,"n=50, p=15",0.0,0.0,6,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20
Restarts,100,5,"n=100, p=5",,,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
Restarts,100,10,"n=100, p=10",,,0,0.0,0.0,18,0.0,0.0,20,0.0,0.0,20
Restarts,100,15,"n=100, p=15",0.0,0.0,2,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20
Restarts,150,5,"n=150, p=5",,,0,0.0,0.0,14,0.0,0.0,18,0.0,0.0,18
Restarts,150,10,"n=150, p=10",,,0,0.0,0.0,15,0.0,0.0,20,0.0,0.0,20
Restarts,150,15,"n=150, p=15",,,0,0.0,2.5,11,0.0,0.0,20,0.0,0.0,20
