instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsThatFoundConflict,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberPropagationsThatPruned,circuitNumberPropagationsTotal,type,best_sol
pumpkin-v0/opt/n150_k10/instance_n150_k10_0013.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/141,SATISFIABLE,1,1800.0,1800.0,63630,95943738,71.222198016,137378,1747,3,63630,50.57969511236838,84.31912619833412,47.90837655194091,0,23604,3316233,23604,43989,195267,minimize,137378
pumpkin-v0/opt/n150_k10/instance_n150_k10_0009.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/144,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
pumpkin-v0/opt/n150_k10/instance_n150_k10_0019.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/142,UNKNOWN,0,1802.94,1784.5900000000001,2030316,2582062941,1791.956372069,5108915,119,0,2030316,27.786723347498615,58.15526253056174,20.455626119283895,0,50187,5685491,50187,447142,5311107,minimize,
pumpkin-v0/opt/n150_k10/instance_n150_k10_0001.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/147,SATISFIABLE,4,1800.0,1800.0,7026,9449905,9.682923511,16636,1686,0,7026,70.13948192428124,80.87005408482779,87.08368915456875,0,13593,1981799,13593,15609,58845,minimize,6322
pumpkin-v0/opt/n150_k10/instance_n150_k10_0012.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/152,SATISFIABLE,1,1802.6,1781.28,2169373,2328099169,1789.081444819,4965251,1674,0,2169373,23.4212636554433,59.65500492538627,22.868013937667705,0,19960,2432626,19960,189975,4443827,minimize,24516
pumpkin-v0/opt/n150_k10/instance_n150_k10_0011.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/146,SATISFIABLE,7,1800.0,1800.0,482337,554561689,669.502293414,1256854,1724,0,482337,60.75210278290904,77.12882486726086,76.70990407121991,0,2652652,369801750,2652652,744473,10904057,minimize,711727
pumpkin-v0/opt/n150_k10/instance_n150_k10_0014.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/140,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
pumpkin-v0/opt/n150_k10/instance_n150_k10_0018.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/148,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
pumpkin-v0/opt/n150_k10/instance_n150_k10_0007.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/138,SATISFIABLE,1,1800.0,1800.0,774,1419873,0.368135631,4184,1761,0,774,13.689922480620154,32.13695090439276,6.875968992248062,0,103,13180,103,554,2986,minimize,4184
pumpkin-v0/opt/n150_k10/instance_n150_k10_0016.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/153,UNKNOWN,0,1802.4,1781.4099999999999,2375504,2659921433,1788.690113976,3622312,110,0,2375504,25.955093740107362,55.04328386733931,17.113037906903124,0,27858,3636892,27858,292613,3245468,minimize,
