instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsThatFoundConflict,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberPropagationsThatPruned,circuitNumberPropagationsTotal,allDifferentNumberTotalHallSetSize,allDifferentNumberNumberOfConflicts,allDifferentNumberMaxHallSetSize,allDifferentNumberPropagationsTotal,allDifferentNumberPropagationsThatFoundConflict,type,best_sol
pumpkin-v1/opt/n20_k7/instance_n20_k7_0009.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/106,OPTIMAL,5,0.26,0.1,122,7223,0.012111021,1420,176,0,122,3.262295081967213,4.491803278688525,4.639344262295082,1,0,0,0,15,3285,2808,636,120,5962,636,minimize,618
pumpkin-v1/opt/n20_k7/instance_n20_k7_0021.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/107,OPTIMAL,12,0.32,0.19,1177,38948,0.104673525,3650,175,0,1177,7.719626168224299,12.67374681393373,7.268479184367035,1,1253,20528,1253,4192,23275,42292,9559,214,47983,9559,minimize,786
pumpkin-v1/opt/n20_k7/instance_n20_k7_0003.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/108,OPTIMAL,12,0.24,0.11,571,25730,0.041825872,2621,158,0,571,4.423817863397548,17.4430823117338,8.814360770577933,1,72,883,72,1119,10328,16720,2861,200,17928,2861,minimize,559
pumpkin-v1/opt/n20_k7/instance_n20_k7_0000.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/110,OPTIMAL,11,0.23,0.08,181,11817,0.013812246,2302,174,0,181,3.723756906077348,5.3535911602209945,4.845303867403315,1,0,0,0,421,8108,4949,1561,218,14795,1561,minimize,597
pumpkin-v1/opt/n20_k7/instance_n20_k7_0007.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/109,OPTIMAL,14,0.26,0.12,375,19272,0.036390715,2790,160,0,375,5.344,10.576,7.704,1,50,803,50,914,13523,14558,3595,300,28315,3595,minimize,669
pumpkin-v1/opt/n20_k7/instance_n20_k7_0011.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/114,OPTIMAL,8,0.27,0.08,336,14745,0.019419753,2134,178,0,336,5.880952380952381,8.761904761904763,5.285714285714286,1,164,2592,164,889,7545,6356,1916,156,14718,1916,minimize,602
pumpkin-v1/opt/n20_k7/instance_n20_k7_0015.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/111,OPTIMAL,12,0.23,0.09000000000000001,185,13287,0.01705716,2817,199,0,185,4.151351351351352,7.043243243243243,6.4,1,24,432,24,179,10440,5907,1809,224,19780,1809,minimize,746
pumpkin-v1/opt/n20_k7/instance_n20_k7_0001.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/113,OPTIMAL,18,0.31,0.19,1019,50059,0.089109499,4283,195,0,1019,5.808635917566241,17.951913640824337,9.45731108930324,1,1650,28317,1650,4841,25973,22627,6637,380,46782,6637,minimize,693
pumpkin-v1/opt/n20_k7/instance_n20_k7_0010.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/115,OPTIMAL,7,0.4,0.29000000000000004,1984,86135,0.21586643,4501,140,0,1984,5.928427419354839,29.351814516129032,14.018649193548388,1,338,4650,338,1418,9215,10217,2039,137,15727,2039,minimize,647
pumpkin-v1/opt/n20_k7/instance_n20_k7_0025.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/116,OPTIMAL,8,0.89,0.74,6849,243699,0.645425503,10137,154,0,6849,6.462257263834136,23.661264418163235,7.40195648999854,1,1318,20518,1318,3561,20613,30134,6397,162,42191,6397,minimize,612
pumpkin-v1/opt/n20_k7/instance_n20_k7_0020.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/117,OPTIMAL,6,106.58,105.91,640667,15651663,105.752551792,646846,184,0,640667,9.86867592680753,32.33044935980782,18.685178103445317,1,8717,115744,8717,76813,556474,1251341,226111,126,1335299,226111,minimize,817
pumpkin-v1/opt/n20_k7/instance_n20_k7_0016.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/120,OPTIMAL,14,0.28,0.08,278,16626,0.017265723,2821,180,0,278,5.755395683453237,9.079136690647482,7.244604316546763,1,46,713,46,873,13118,15677,3014,264,23872,3014,minimize,618
pumpkin-v1/opt/n20_k7/instance_n20_k7_0014.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/112,OPTIMAL,10,0.29,0.16,756,26996,0.062983816,3318,177,0,756,7.363756613756614,10.298941798941799,7.014550264550264,1,307,4898,307,1767,16544,21066,4900,174,32459,4900,minimize,953
pumpkin-v1/opt/n20_k7/instance_n20_k7_0028.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/121,OPTIMAL,11,0.29,0.16,750,29814,0.067786773,3308,175,0,750,5.214666666666667,13.433333333333334,9.574666666666667,1,244,3700,244,1176,13860,18473,3553,228,26486,3553,minimize,627
pumpkin-v1/opt/n20_k7/instance_n20_k7_0024.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/123,OPTIMAL,15,0.36,0.18,1459,53009,0.111780579,4311,183,0,1459,7.3618917066483895,17.68403015764222,14.618231665524332,1,345,4236,345,5530,31122,130154,13997,320,63716,13997,minimize,611
pumpkin-v1/opt/n20_k7/instance_n20_k7_0004.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/124,OPTIMAL,14,0.27,0.16,769,25842,0.061801064,3416,157,0,769,7.23407022106632,13.443433029908972,9.357607282184656,1,303,4573,303,1649,19162,44519,7448,274,39097,7448,minimize,615
pumpkin-v1/opt/n20_k7/instance_n20_k7_0013.fzn,experiments/20260610-10.42.57.240042-pumpkin-v1/118,OPTIMAL,14,0.33,0.2,1391,49619,0.112471821,4571,183,0,1391,8.835370237239395,11.68727534148095,5.619698058950395,1,1382,22736,1382,11256,39517,43706,12668,200,73350,12668,minimize,1167
