instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsThatFoundConflict,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberPropagationsThatPruned,circuitNumberPropagationsTotal,allDifferentNumberPropagationsTotal,allDifferentNumberPropagationsThatFoundConflict,allDifferentNumberPropagationsThatPruned,allDifferentNumberTotalValuesPruned,allDifferentNumberTotalHallSetSizeConflict,allDifferentNumberNumberOfConflicts,allDifferentNumberMaxHallSetSizeConflict,allDifferentNumberTotalPruningHallSetSize,allDifferentNumberNumberOfPruningExplanations,allDifferentNumberMaxPruningHallSetSize,allDifferentNumberTotalFixedEdgesAtConflict,allDifferentNumberTotalVarsInvolvedInPruning,allDifferentNumberMaxValuesPrunedFromSingleVar,allDifferentNumberTotalSccSizeAtPruning,allDifferentNumberNumberOfSccPruningCalls,type,best_sol
pumpkin-v2/opt/n150_k10/instance_n150_k10_0004.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/6,SATISFIABLE,24,1804.16,1774.08,714167,36001015,1781.122637474,1332274,1815,3,714167,55.20200317292734,92.94578158890008,82.04774653547419,0,1696067,238848536,1696067,2120924,6998165,11176488,126515,7392632,28510369,1542463,126515,464,225828787,28510369,2452,16238278,21410447,162,96511376,7392632,minimize,1806
pumpkin-v2/opt/n150_k10/instance_n150_k10_0005.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/7,UNKNOWN,0,1803.83,1773.42,524694,14327802,1780.186250368,690272,108,0,524694,98.10887488707704,119.22258116159132,136.51537658139793,0,524666,73442541,524666,254899,1479105,2225146,1,1460434,3197547,7,1,7,4662442,3197547,73,102,2905162,6,2724127,1460434,minimize,
pumpkin-v2/opt/n150_k10/instance_n150_k10_0007.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/4,SATISFIABLE,3,1804.19,1772.49,681202,31364726,1781.309411034,686996,1759,0,681202,33.15627082715553,130.4236379223784,8.70108719586848,0,655118,58430019,655118,1463278,3539664,4936239,13365,3105221,14397585,26824,13365,3,218440164,14397585,262,1118113,11270327,26,88108345,3105221,minimize,1838
pumpkin-v2/opt/n150_k10/instance_n150_k10_0015.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/13,SATISFIABLE,18,1800.0,1800.0,230695,17909611,1075.423026398,967294,1872,6,230695,48.10478770671232,95.40035978239668,54.030923947203014,0,2459081,296084747,2459081,3621520,21045338,35526594,79651,21871313,106472918,171087,79651,1110,684343961,106472918,1989,7917734,85880867,178,260196565,21871313,minimize,11843
pumpkin-v2/opt/n150_k10/instance_n150_k10_0013.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/5,OPTIMAL,22,144.33,121.01,51439,1797934,121.230602777,122380,1753,0,51439,79.1008573261533,99.91595870837303,106.10398724703046,1,1086566,156051483,1086566,935018,3745360,5685217,1806,3383983,9104388,5991,1806,296,22367096,9104388,1633,200180,7206327,201,10159516,3383983,minimize,11979
pumpkin-v2/opt/n150_k10/instance_n150_k10_0010.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/14,SATISFIABLE,21,1800.0,1800.0,6462,268781,13.089656435,40303,1661,0,6462,44.67734447539461,144.82342927886103,9.118229650263077,0,47866,4997417,47866,22516,155193,266178,401,159615,932938,7963,401,1061,14250308,932938,2252,47460,706134,127,5646375,159615,minimize,1942
pumpkin-v2/opt/n150_k10/instance_n150_k10_0019.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/18,SATISFIABLE,20,1800.0,1800.0,3055,242650,6.186609244,41933,1710,0,3055,43.98003273322422,68.0582651391162,55.715220949263504,0,42929,5677943,42929,56339,267958,441714,176,267228,919750,988,176,277,2140758,919750,1664,21790,828899,120,1041038,267228,minimize,2404
pumpkin-v2/opt/n150_k10/instance_n150_k10_0017.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/3,SATISFIABLE,3,1803.97,1772.0,575331,27837223,1780.906272285,1203647,1714,0,575331,76.45663279051537,111.28836096090772,77.23353165395224,0,583778,81926644,583778,352952,2478191,4162390,17251,2711414,7475504,48024,17251,129,35882132,7475504,304,2367483,6470987,25,14559959,2711414,minimize,51899
pumpkin-v2/opt/n150_k10/instance_n150_k10_0009.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/15,SATISFIABLE,1,1800.0,1800.0,4491,170777,13.346889344,12228,1706,0,4491,78.11623246492987,81.40414161656646,109.43865508795369,0,4467,633702,4467,1993,17199,28534,8,16968,52590,21,8,7,144783,52590,86,1051,45551,6,73384,16968,minimize,12228
pumpkin-v2/opt/n150_k10/instance_n150_k10_0001.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/12,SATISFIABLE,4,1800.0,1800.0,4120,134020,10.677214907,10952,1685,0,4120,95.17572815533981,109.3123786407767,128.45339805825242,0,11572,1694776,11572,8144,33665,50159,152,30212,80300,304,152,8,193260,80300,284,22212,66132,20,86378,30212,minimize,3613
pumpkin-v2/opt/n150_k10/instance_n150_k10_0018.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/9,SATISFIABLE,9,1800.0,1800.0,9833,463970,15.826191818,35178,1717,0,9833,41.89270822739754,59.37475846638869,53.70558324010983,0,69460,9805459,69460,61375,306826,499003,3389,299509,967639,26325,3389,105,2195013,967639,829,445204,820849,54,1159275,299509,minimize,1948
pumpkin-v2/opt/n150_k10/instance_n150_k10_0014.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/19,UNKNOWN,0,1804.65,1777.89,533906,16213365,1787.096148231,780779,111,0,533906,95.33982948309253,124.9350278888044,133.28711983008245,0,531945,76865625,531945,394471,1704576,2629324,1895,1729046,4411379,4870,1895,29,7494613,4411379,54,275461,3988948,5,4914949,1729046,minimize,
pumpkin-v2/opt/n150_k10/instance_n150_k10_0011.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/11,OPTIMAL,16,964.53,931.98,406423,14738553,935.808254923,935110,1724,0,406423,67.83600829677454,93.65116147462128,91.82617125507169,1,4900447,695849200,4900447,1144739,19848770,33872305,36103,19374997,46871978,104648,36103,402,69681561,46871978,1764,4780085,43210048,136,42582471,19374997,minimize,616717
pumpkin-v2/opt/n150_k10/instance_n150_k10_0006.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/2,UNKNOWN,0,1804.23,1771.49,968955,52489320,1780.515742783,3502314,114,0,968955,28.8030166519601,42.47272370749932,39.117392448565724,0,926831,123940220,926831,891830,5227244,8897739,3600,4749681,17945468,9716,3600,13,36499846,17945468,28,433373,12667936,7,13824980,4749681,minimize,
pumpkin-v2/opt/n150_k10/instance_n150_k10_0008.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/16,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","","","","","","","","","","","","","","","","",minimize,
pumpkin-v2/opt/n150_k10/instance_n150_k10_0012.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/10,SATISFIABLE,2,1800.0,1800.0,73,16319,0.222085595,3838,1692,0,73,19.356164383561644,28.493150684931507,23.972602739726028,0,96,11794,96,125,1347,2516,4,1345,8969,10,4,5,37760,8969,156,479,7058,16,10284,1345,minimize,1989
pumpkin-v2/opt/n150_k10/instance_n150_k10_0003.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/1,UNKNOWN,0,1804.66,1773.33,654669,24624576,1780.344524174,656142,101,0,654669,38.11428676170706,159.96976334605733,5.800676372334721,0,654663,48824875,654663,392935,2117148,2904687,0,2248201,10575014,0,0,0,208294656,10575014,83,0,8478712,7,181475377,2248201,minimize,
pumpkin-v2/opt/n150_k10/instance_n150_k10_0002.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/8,SATISFIABLE,4,1800.0,1800.0,1591,80293,3.590048234,9216,1690,0,1591,70.87115021998743,92.97800125707103,88.71841609050911,0,4920,687981,4920,6220,20259,30269,60,20336,66375,294,60,20,233240,66375,300,7403,55761,24,105269,20336,minimize,3294
pumpkin-v2/opt/n150_k10/instance_n150_k10_0016.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/20,OPTIMAL,22,27.89,3.5300000000000002,1039,157116,3.253312921,39300,1676,0,1039,28.86429258902791,51.420596727622716,42.946102021174205,1,3803,512180,3803,2773,51728,98038,16,51564,308732,80,16,12,1026376,308732,2043,1864,276590,161,275182,51564,minimize,1690
pumpkin-v2/opt/n20_k3/instance_n20_k3_0024.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/39,OPTIMAL,2,22.59,0.09,35,1754,0.008604033,174,73,0,35,3.3142857142857145,6.428571428571429,4.9714285714285715,1,45,503,45,51,188,312,0,182,663,0,0,0,3180,663,51,0,521,12,1821,182,minimize,69
pumpkin-v2/opt/n150_k10/instance_n150_k10_0000.fzn,experiments/20260609-16.05.55.023328-pumpkin-v2/17,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","","","","","","","","","","","","","","","","",minimize,
