instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsTotal,circuitNumberCircuitConflicts,circuitNumberAlldiffConflicts,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberGacPrunings,circuitNumberPropagationsThatGacPruned,circuitNumberTotalPruningHallSetSize,circuitNumberNumberOfPruningExplanations,circuitNumberMaxPruningHallSetSize,circuitNumberTotalSccSizeAtPruning,circuitNumberNumberOfSccPruningCalls,circuitNumberTotalVarsInvolvedInPruning,circuitNumberMaxValuesPrunedFromSingleVar,circuitNumberHallCircuitChecks,circuitNumberHallCircuitPrunings,circuitNumberCircuitPreventPrunings,type,best_sol
pumpkin-v3/opt/n100_k7/instance_n100_k7_0019.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/136,SATISFIABLE,5,1802.78,1777.72,795292,23087629,1785.520521897,1066731,848,0,795292,55.41929379397756,81.84727622055799,76.45359063086262,0,4243240,687138,0,65264781,687138,5140061,2070016,10316231,5140061,356,6928562,2070016,4624584,27,8259040,168685,1993285,minimize,1613
pumpkin-v3/opt/n100_k7/instance_n100_k7_0013.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/140,SATISFIABLE,7,1802.31,1784.98,766206,23420643,1793.02394853,778914,829,0,766206,55.28604448412046,74.34039670793494,24.608985051017612,0,9801965,1514770,3736,140211035,1518506,12717993,5374062,27541918,12717993,537,18688912,5374062,10985111,56,26121339,1697306,4810306,minimize,130991
pumpkin-v3/opt/n100_k7/instance_n100_k7_0009.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/127,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","","","","","","","","","","","","","",minimize,
pumpkin-v3/opt/n100_k7/instance_n100_k7_0000.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/142,SATISFIABLE,2,1802.26,1748.16,790208,18914346,1793.043910196,793383,782,0,790208,54.38872803110067,68.27771801854702,6.023744381226209,0,4324086,800202,2,60350563,800204,5838997,2492453,14498596,5838997,159,11976577,2492453,5358756,18,14017739,927299,2013031,minimize,30194
pumpkin-v3/opt/n100_k7/instance_n100_k7_0012.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/145,SATISFIABLE,10,1802.73,1778.05,689129,28801360,1786.273750457,719379,829,0,689129,47.875814252483934,77.50646250556862,25.457966505545407,0,4173153,668893,643,54119720,669536,7659562,2481249,18616448,7659562,731,10462407,2481249,6939168,73,13679703,665571,1124323,minimize,847
pumpkin-v3/opt/n100_k7/instance_n100_k7_0015.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/137,SATISFIABLE,11,1800.0,1800.0,580298,19360072,1585.3407022,770786,840,0,580298,52.20735208461859,80.0264760519595,71.84471082099198,0,4047310,424978,29,39928596,425007,6630959,2428770,13339621,6630959,844,6442458,2428770,5714769,76,8252886,414002,1906540,minimize,2673
pumpkin-v3/opt/n100_k7/instance_n100_k7_0017.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/141,UNKNOWN,0,1802.2,1784.39,907273,25178894,1793.052029884,907407,55,0,907273,48.91081185045736,48.92770312794495,3.9999812625306825,0,4825983,907041,0,53954183,907041,11836386,2981078,20055972,11836386,48,11441384,2981078,10626274,6,12209930,1518045,3097021,minimize,
pumpkin-v3/opt/n100_k7/instance_n100_k7_0001.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/131,SATISFIABLE,10,1800.0,1800.0,121,23348,0.351760932,7466,784,0,121,43.66115702479339,65.12396694214875,36.34710743801653,0,12622,558,6,51241,564,28728,6522,96707,28728,650,37786,6522,25603,67,20273,639,5202,minimize,797
pumpkin-v3/opt/n100_k7/instance_n100_k7_0008.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/144,OPTIMAL,4,393.4,346.41999999999996,253723,9530469,347.421836952,256909,809,0,253723,6.75520153868589,59.191011457376746,5.048860371349858,1,1293149,377,4,34748,381,3342233,952508,71058582,3342233,397,46439559,952508,2915582,24,1642771,172520,950296,minimize,851
pumpkin-v3/opt/n100_k7/instance_n100_k7_0011.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/135,SATISFIABLE,9,1800.0,1800.0,273519,9749451,604.469744372,299202,899,1,273519,42.4228773869457,54.026195620779546,16.974930443588928,0,9445751,1581118,1054,86066705,1582172,15263495,5250291,127119971,15263495,651,37103075,5250291,12395295,90,23897884,1925074,4361921,minimize,140370
pumpkin-v3/opt/n100_k7/instance_n100_k7_0002.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/126,SATISFIABLE,5,1800.0,1800.0,48834,1309914,81.14585958,60995,802,0,48834,44.82200925584634,73.4149363148626,67.30947700372691,0,1156701,137879,44,13265296,137923,1850577,660088,4453774,1850577,258,2807260,660088,1591668,25,2312008,17298,440706,minimize,54841
pumpkin-v3/opt/n100_k7/instance_n100_k7_0007.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/138,UNKNOWN,0,1802.35,1784.52,465328,15329082,1793.052874906,468058,61,0,465328,52.05799350135818,52.16827485128769,12.102237561462022,0,2895812,461755,787,39360452,462542,5505471,1605919,10954283,5505471,55,4934280,1605919,4368658,7,10273454,715051,1515399,minimize,
pumpkin-v3/opt/n100_k7/instance_n100_k7_0010.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/128,SATISFIABLE,7,1800.0,1800.0,507308,24750294,1440.913766029,514138,796,0,507308,54.34546074574026,54.43062794199973,12.069640139717883,0,29786364,3543570,529,277312090,3544099,63474687,18528201,165230521,63474687,222,87073520,18528201,54081931,42,105616434,6923368,18825394,minimize,508336
pumpkin-v3/opt/n100_k7/instance_n100_k7_0016.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/134,SATISFIABLE,1,1800.0,1800.0,21,4134,0.042323859,807,778,0,21,37.80952380952381,55.285714285714285,55.23809523809524,0,257,17,0,1594,17,530,131,1576,530,62,778,131,505,5,490,5,69,minimize,807
pumpkin-v3/opt/n100_k7/instance_n100_k7_0014.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/129,OPTIMAL,12,144.17,126.21000000000001,66586,2496136,126.547452809,89408,833,0,66586,50.49764214699787,71.17215330549965,43.578860421109546,1,3865664,243288,113,21260400,243401,7648643,2338922,19913474,7648643,978,12477583,2338922,6314295,117,9052538,684377,2167581,minimize,973
pumpkin-v3/opt/n100_k7/instance_n100_k7_0003.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/143,SATISFIABLE,13,1802.19,1784.83,875282,24181640,1792.642323887,888909,816,0,875282,37.00896396818397,77.01749379057264,11.378456314650593,0,5291136,600336,10479,33910422,610815,14325695,3424975,122619670,14325695,1165,81816209,3424975,11777884,84,9651008,770664,3306874,minimize,827
pumpkin-v3/opt/n100_k7/instance_n100_k7_0005.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/139,UNKNOWN,0,1802.35,1785.72,871421,33780713,1793.05252528,1328206,63,0,871421,39.01173370850599,59.8346826619969,37.65894326622838,0,6345062,331066,199237,45588171,530303,10828981,3579612,30494209,10828981,56,22586929,3579612,9503752,6,20517878,400745,3505847,minimize,
pumpkin-v3/opt/n100_k7/instance_n100_k7_0018.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/132,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","","","","","","","","","","","","","",minimize,
pumpkin-v3/opt/n100_k7/instance_n100_k7_0004.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/130,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","","","","","","","","","","","","","",minimize,
pumpkin-v3/opt/n100_k7/instance_n100_k7_0006.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/133,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","","","","","","","","","","","","","",minimize,
pumpkin-v3/opt/n150_k15/instance_n150_k15_0008.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/153,SATISFIABLE,2,1804.15,1777.04,362263,10331419,1785.548034505,387925,2598,0,362263,113.2468731280865,124.21009045914157,45.00836684949884,0,2456732,296401,205,43230621,296606,3367648,1398145,5332867,3367648,171,3725607,1398145,2997983,20,4553322,435886,1224405,minimize,4052
pumpkin-v3/opt/n150_k15/instance_n150_k15_0012.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/163,SATISFIABLE,7,1800.0,1800.0,29,40012,0.498743598,17424,2545,0,29,24.344827586206897,38.51724137931034,25.275862068965516,0,8550,117,0,16058,117,37163,4308,61345,37163,199,11734,4308,36091,44,14968,88,1975,minimize,2582
pumpkin-v3/opt/n150_k15/instance_n150_k15_0002.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/155,SATISFIABLE,13,1800.0,1800.0,115860,3800995,396.298580832,149290,2542,0,115860,65.05353875366822,108.04160193336786,22.365147591921286,0,3068750,295678,688,40252462,296366,6510054,1944737,36854666,6510054,1018,22543932,1944737,5644260,87,8680003,495968,1484076,minimize,2590
pumpkin-v3/opt/n150_k15/instance_n150_k15_0000.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/161,SATISFIABLE,17,1800.0,1800.0,19354,1001954,53.861103298,72426,2556,1,19354,64.47344218249458,107.3035548207089,5.716182701250387,0,419130,51059,356,5969943,51415,1602792,252211,11520885,1602792,826,4208238,252211,1246645,113,774216,13009,173331,minimize,2558
pumpkin-v3/opt/n150_k15/instance_n150_k15_0009.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/159,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","","","","","","","","","","","","","",minimize,
