instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,type,best_sol
pumpkin-v2/opt/n150_k10/instance_n150_k10_0005.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/7,OPTIMAL,1,10.64,3.16,2051,261838,3.035447675,4118,1125,0,2051,71.48171623598245,200.38712823013165,52.479765967820576,169,minimize,4118
pumpkin-v2/opt/n150_k10/instance_n150_k10_0007.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/4,OPTIMAL,2,39.33,31.53,47815,1859493,31.503399009,54439,1649,3,47815,29.720401547631496,55.86972707309422,37.95513960054376,184,minimize,51751
pumpkin-v2/opt/n150_k10/instance_n150_k10_0004.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/6,OPTIMAL,3,25.25,17.08,18397,1143450,16.982800787,26564,1354,6,18397,21.043485350872423,57.21791596455944,28.033211936728815,137,minimize,17884
pumpkin-v2/opt/n150_k10/instance_n150_k10_0013.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/5,OPTIMAL,4,27.93,19.419999999999998,14115,980061,19.32827533,24810,1549,15,14115,49.43535246191994,102.68912504427914,76.99822883457315,203,minimize,19226
pumpkin-v2/opt/n150_k10/instance_n150_k10_0019.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/18,OPTIMAL,1,8.71,2.1799999999999997,1543,209730,2.046131699,4771,1088,0,1543,38.80233311730395,124.16331821127673,24.8600129617628,150,minimize,4771
pumpkin-v2/opt/n150_k10/instance_n150_k10_0014.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/19,OPTIMAL,1,7.11,0.52,234,152088,0.359021946,2087,1205,0,234,9.666666666666666,52.99145299145299,3.5555555555555554,144,minimize,2087
pumpkin-v2/opt/n150_k10/instance_n150_k10_0015.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/13,OPTIMAL,1,23.99,1.82,1257,177809,1.668096948,3406,1499,0,1257,35.05409705648369,174.72792362768496,7.892601431980907,165,minimize,3406
pumpkin-v2/opt/n150_k10/instance_n150_k10_0010.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/14,OPTIMAL,4,74.07,69.45,49957,2767588,69.530574682,67776,1598,41,49957,51.65960726224553,123.7356326440739,53.515823608303144,142,minimize,60166
pumpkin-v2/opt/n150_k10/instance_n150_k10_0009.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/15,OPTIMAL,1,6.92,0.65,548,169955,0.531407061,1881,1109,0,548,18.456204379562045,43.56751824817518,8.602189781021897,178,minimize,1881
pumpkin-v2/opt/n150_k10/instance_n150_k10_0017.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/3,UNKNOWN,0,1800.83,1793.8,1038338,44031494,1799.75803487,1067535,689,0,1038338,38.893040609127276,83.36046740078856,68.12667551413894,132,minimize,
pumpkin-v2/opt/n150_k10/instance_n150_k10_0001.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/12,OPTIMAL,2,80.48,56.89,68589,2935873,56.936116516,75845,1422,1,68589,25.720582017524677,56.87608800244937,36.71725786933765,135,minimize,17205
pumpkin-v2/opt/n150_k10/instance_n150_k10_0006.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/2,OPTIMAL,1,4.97,1.3900000000000001,787,154288,1.265082293,2881,918,0,787,34.445997458703935,127.52350698856416,22.390088945362134,130,minimize,2881
pumpkin-v2/opt/n150_k10/instance_n150_k10_0018.fzn,experiments/20260603-09.01.52.920058-pumpkin-v2/9,OPTIMAL,2,39.4,16.69,13257,491346,16.617954212,22243,1530,3,13257,64.22704986045109,193.63641849588896,35.38832315003395,164,minimize,20476
