instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsTotal,circuitNumberCircuitConflicts,circuitNumberAlldiffConflicts,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberGacPrunings,circuitNumberPropagationsThatGacPruned,circuitNumberTotalPruningHallSetSize,circuitNumberNumberOfPruningExplanations,circuitNumberMaxPruningHallSetSize,circuitNumberTotalSccSizeAtPruning,circuitNumberNumberOfSccPruningCalls,circuitNumberTotalVarsInvolvedInPruning,circuitNumberMaxValuesPrunedFromSingleVar,circuitNumberHallCircuitChecks,circuitNumberHallCircuitPrunings,circuitNumberCircuitPreventPrunings,type,best_sol
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0011.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/197,UNSATISFIABLE,0,1.73,0.05,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0004.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/198,UNSATISFIABLE,0,1.76,0.06,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0002.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/193,UNSATISFIABLE,0,0.31,0.07,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0007.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/195,UNSATISFIABLE,0,0.31,0.06,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0014.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/194,UNSATISFIABLE,0,0.28,0.07,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0008.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/187,UNSATISFIABLE,0,1.05,0.07,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0016.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/189,UNSATISFIABLE,0,0.32,0.05,1,3,0,0,0,0,1,0,0,0,0,2,1,0,18,1,25,1,131,25,13,19,1,12,4,1,0,0,minimize,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0019.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/182,UNSATISFIABLE,0,1.08,0.05,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0009.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/185,OPTIMAL,1,0.92,0.08,0,392,0.000129673,75,75,0,0,0,0,0,0,16,0,0,0,0,92,8,552,92,38,84,8,46,14,20,0,8,minimize,75
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0012.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/191,UNSATISFIABLE,0,0.37,0.05,1,2,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,minimize,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0015.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/184,UNSATISFIABLE,0,0.85,0.06,1,2,0,0,0,0,1,0,0,0,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,minimize,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0005.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/192,UNSATISFIABLE,0,0.29,0.05,1,2,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,minimize,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0000.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/183,UNSATISFIABLE,0,0.68,0.06,1,2,0,0,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,minimize,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0001.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/188,OPTIMAL,1,0.7,0.07,0,345,0.000068192,70,70,0,0,0,0,0,0,16,0,0,0,0,82,8,440,82,36,96,8,46,12,12,0,10,minimize,70
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0003.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/186,UNSATISFIABLE,0,0.81,0.07,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0013.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/196,UNSATISFIABLE,0,0.34,0.05,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0018.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/199,UNSATISFIABLE,0,1.72,0.06,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0017.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/200,OPTIMAL,2,1.77,0.07,10,876,0.00155236,148,75,0,10,2.4,2.4,3.6,1,141,2,6,154,8,407,74,2017,407,48,729,74,277,12,128,0,69,minimize,77
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0017.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/220,UNSATISFIABLE,0,3.62,0.07,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0001.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/206,UNSATISFIABLE,0,0.18,0.04,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0010.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/181,UNSATISFIABLE,0,0.82,0.05,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p015/instance_n20_p0.150_0006.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/190,UNSATISFIABLE,0,0.3,0.04,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0012.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/214,UNSATISFIABLE,0,3.62,0.06,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0005.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/207,UNSATISFIABLE,0,0.19,0.05,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0011.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/208,UNSATISFIABLE,0,0.26,0.05,1,2,0,0,0,0,1,0,0,0,0,1,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,minimize,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0018.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/219,UNSATISFIABLE,0,3.54,0.08,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0009.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/218,UNSATISFIABLE,0,3.53,0.09,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0006.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/215,UNSATISFIABLE,0,3.58,0.06,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0007.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/210,UNSATISFIABLE,0,0.24,0.07,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0013.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/213,UNSATISFIABLE,0,3.59,0.05,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0014.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/201,UNSATISFIABLE,0,1.74,0.08,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0000.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/211,UNSATISFIABLE,0,0.22,0.07,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0002.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/204,UNSATISFIABLE,0,1.76,0.06,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0016.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/212,UNSATISFIABLE,0,0.26,0.06,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0008.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/209,UNSATISFIABLE,0,0.22,0.06,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0010.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/203,UNSATISFIABLE,0,1.74,0.07,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0004.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/217,UNSATISFIABLE,0,3.45,0.08,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0003.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/205,UNSATISFIABLE,0,0.26,0.05,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0015.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/202,UNSATISFIABLE,0,1.68,0.07,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p010/instance_n20_p0.100_0019.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/216,UNSATISFIABLE,0,3.62,0.06,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p005/instance_n20_p0.050_0000.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/74,UNSATISFIABLE,0,0.2,0.06,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
pumpkin-v3/random/n20_p005/instance_n20_p0.050_0002.fzn,experiments/20260612-11.53.47.835555-pumpkin-v3/80,UNSATISFIABLE,0,7.59,0.07,1,2,0,0,0,0,1,0,0,0,0,"","","","","","","","","","","","","","","","","",satisfy,
