instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,type,best_sol
pumpkin-v1/opt/n20_k7/instance_n20_k7_0015.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/111,OPTIMAL,1,1.7,0.13,465,76257,0.044721189,835,121,0,465,2.0236559139784944,2.447311827956989,6.886021505376344,416,minimize,835
pumpkin-v1/opt/n20_k7/instance_n20_k7_0010.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/115,OPTIMAL,1,1.72,0.16,675,85907,0.06824411,1286,99,0,675,2.81037037037037,9.74074074074074,10.524444444444445,355,minimize,1286
pumpkin-v1/opt/n20_k7/instance_n20_k7_0021.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/107,OPTIMAL,1,1.71,0.13,530,74213,0.04692928,1066,89,0,530,2.1188679245283017,5.490566037735849,6.088679245283019,380,minimize,1066
pumpkin-v1/opt/n20_k7/instance_n20_k7_0020.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/117,OPTIMAL,1,1.72,0.17,935,91439,0.084689339,2877,165,0,935,2.8085561497326204,6.227807486631016,8.52192513368984,451,minimize,2877
pumpkin-v1/opt/n20_k7/instance_n20_k7_0001.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/113,OPTIMAL,1,1.74,0.13,407,72846,0.044695309,825,74,0,407,1.5675675675675675,3.3194103194103195,5.963144963144964,322,minimize,825
pumpkin-v1/opt/n20_k7/instance_n20_k7_0003.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/108,OPTIMAL,1,1.65,0.12,406,64635,0.040009243,1120,89,0,406,1.6305418719211822,2.4334975369458127,4.374384236453202,331,minimize,1120
pumpkin-v1/opt/n20_k7/instance_n20_k7_0009.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/106,OPTIMAL,1,1.75,0.12000000000000001,446,76739,0.041958538,975,114,0,446,1.609865470852018,1.8968609865470851,5.053811659192825,401,minimize,975
pumpkin-v1/opt/n20_k7/instance_n20_k7_0025.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/116,OPTIMAL,1,1.78,0.21000000000000002,1392,105213,0.121564427,2452,102,0,1392,4.217672413793103,13.424568965517242,7.866379310344827,408,minimize,2452
pumpkin-v1/opt/n20_k7/instance_n20_k7_0000.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/110,OPTIMAL,1,1.68,0.12,446,63438,0.037026969,1067,92,0,446,1.804932735426009,3.585201793721973,4.304932735426009,363,minimize,1067
pumpkin-v1/opt/n20_k7/instance_n20_k7_0011.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/114,OPTIMAL,1,1.62,0.11,402,55743,0.030464694,648,115,0,402,1.8532338308457712,2.4925373134328357,5.383084577114428,367,minimize,648
pumpkin-v1/opt/n20_k7/instance_n20_k7_0007.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/109,OPTIMAL,1,1.52,0.12,400,59270,0.037363614,897,76,0,400,1.9075,3.5325,6.665,312,minimize,897
pumpkin-v1/opt/n20_k7/instance_n20_k7_0013.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/118,OPTIMAL,1,1.72,0.12,400,58844,0.037212109,718,79,0,400,2.1475,5.1475,7.6525,314,minimize,718
pumpkin-v1/opt/n20_k7/instance_n20_k7_0016.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/120,OPTIMAL,1,1.83,0.15,630,72693,0.054852808,1528,88,0,630,3.43968253968254,9.361904761904762,8.126984126984127,334,minimize,1528
pumpkin-v1/opt/n20_k7/instance_n20_k7_0028.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/121,OPTIMAL,1,1.74,0.13,493,89496,0.052907067,868,102,0,493,1.385395537525355,2.6511156186612577,5.152129817444219,427,minimize,868
pumpkin-v1/opt/n20_k7/instance_n20_k7_0014.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/112,OPTIMAL,1,1.7,0.14,599,83536,0.061649869,1885,121,0,599,3.293823038397329,4.784641068447413,7.624373956594324,415,minimize,1885
pumpkin-v1/opt/n20_k7/instance_n20_k7_0004.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/124,OPTIMAL,1,1.75,0.12,425,68038,0.033780631,922,98,0,425,1.383529411764706,1.611764705882353,2.604705882352941,386,minimize,922
pumpkin-v1/opt/n20_k7/instance_n20_k7_0026.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/119,OPTIMAL,1,1.76,0.13,429,76095,0.050009566,906,103,0,429,1.6946386946386947,3.2703962703962706,10.13053613053613,355,minimize,906
pumpkin-v1/opt/n20_k7/instance_n20_k7_0024.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/123,OPTIMAL,1,1.75,0.13,447,79432,0.04566067,855,98,0,447,1.6241610738255035,3.9440715883668904,7.156599552572707,376,minimize,855
pumpkin-v1/opt/n20_k7/instance_n20_k7_0012.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/122,OPTIMAL,1,1.77,0.14,727,80248,0.066386637,1685,92,0,727,3.4621733149931226,10.822558459422284,9.521320495185694,377,minimize,1685
pumpkin-v1/opt/n20_k7/instance_n20_k7_0017.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/126,OPTIMAL,1,1.59,0.14,602,68790,0.060982,2104,106,0,602,2.973421926910299,4.687707641196013,8.591362126245848,378,minimize,2104
pumpkin-v1/opt/n20_k7/instance_n20_k7_0005.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/128,OPTIMAL,1,1.36,0.13,492,91980,0.053771898,1264,134,0,492,1.6565040650406504,2.8272357723577235,9.101626016260163,436,minimize,1264
pumpkin-v1/opt/n20_k7/instance_n20_k7_0019.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/127,OPTIMAL,1,1.42,0.14,482,77347,0.052250756,1749,117,0,482,1.7136929460580912,3.66804979253112,6.1037344398340245,377,minimize,1749
pumpkin-v1/opt/n20_k7/instance_n20_k7_0018.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/130,OPTIMAL,1,1.52,0.13,464,79461,0.052148938,1271,126,0,464,2.0948275862068964,2.7349137931034484,7.631465517241379,387,minimize,1271
pumpkin-v1/opt/n20_k7/instance_n20_k7_0002.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/125,OPTIMAL,1,1.39,0.12000000000000001,477,78574,0.046638477,1320,107,0,477,1.6457023060796645,2.293501048218029,5.981132075471698,410,minimize,1320
pumpkin-v1/opt/n20_k7/instance_n20_k7_0008.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/133,OPTIMAL,1,1.56,0.14,509,77172,0.051065996,1215,81,0,509,2.6935166994106092,4.801571709233792,8.964636542239687,356,minimize,1215
pumpkin-v1/opt/n20_k7/instance_n20_k7_0029.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/132,OPTIMAL,1,1.61,0.14,547,87442,0.047297971,1021,158,0,547,1.436928702010969,1.5429616087751372,3.0786106032906764,512,minimize,1021
pumpkin-v1/opt/n20_k7/instance_n20_k7_0022.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/129,OPTIMAL,1,1.43,0.14,588,80999,0.063383536,1135,96,0,588,2.372448979591837,9.289115646258503,12.314625850340136,376,minimize,1135
pumpkin-v1/opt/n20_k7/instance_n20_k7_0027.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/134,OPTIMAL,1,1.62,0.14,615,87337,0.064603785,2223,114,0,615,2.6601626016260163,5.533333333333333,9.51869918699187,391,minimize,2223
pumpkin-v1/opt/n20_k7/instance_n20_k7_0023.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/135,OPTIMAL,1,1.55,0.16,635,80120,0.074778736,2408,119,0,635,3.5952755905511813,7.390551181102362,11.32283464566929,375,minimize,2408
pumpkin-v1/opt/n20_k7/instance_n20_k7_0006.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/131,OPTIMAL,1,1.55,0.15,705,94984,0.07165004,2752,157,0,705,1.8297872340425532,2.171631205673759,3.781560283687943,582,minimize,2752
pumpkin-v1/opt/n50_k3/instance_n50_k3_0020.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/352,OPTIMAL,1,5.12,0.38,2270,90588,0.28993205,4903,166,0,2270,3.836123348017621,6.0955947136563875,6.982819383259912,843,minimize,4903
pumpkin-v1/opt/n50_k3/instance_n50_k3_0005.fzn,experiments/20260602-15.07.06.641281-pumpkin-v1/353,OPTIMAL,1,2.78,0.29000000000000004,1494,77406,0.214769284,4478,160,0,1494,3.2583668005354753,4.971218206157965,6.032797858099063,620,minimize,4478
