instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsThatFoundConflict,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberPropagationsThatPruned,circuitNumberPropagationsTotal,type,best_sol
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0017.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/69,UNKNOWN,0,300.0,300.0,366194,429822458,296.470454081,406182,134,0,366194,36.70845508118647,60.45604515639251,16.546704752125923,0,1329,186343,1329,42314,343668,minimize,
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0018.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/61,SATISFIABLE,30,301.06,287.38,317385,416854400,296.245893913,440860,3326,0,317385,47.596345132882774,87.45013784520377,25.481935189123618,0,1902,265770,1902,38909,428717,minimize,4198
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0003.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/72,SATISFIABLE,4,300.0,300.0,351061,352329812,296.204295306,407494,3294,0,351061,32.56627480694238,49.679540022958975,16.389667322772965,0,1738,242539,1738,28001,320400,minimize,3477
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0005.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/78,SATISFIABLE,34,300.39,297.90999999999997,408469,734272122,298.661425274,581510,3353,6,408469,54.643740406248696,98.04357246204731,22.2459085022364,0,5128,722643,5128,80716,761928,minimize,3359
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0014.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/67,SATISFIABLE,4,300.0,300.0,332462,415901186,296.441455306,352743,3260,0,332462,37.742349501597175,59.423296497043275,13.348993268403607,0,1156,162891,1156,30955,324246,minimize,3264
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0011.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/77,UNKNOWN,0,300.43,290.65000000000003,451814,544551113,298.999304521,474592,132,0,451814,23.319994511015594,44.712344017670986,11.616868888524923,0,2082,290949,2082,55940,430488,minimize,
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0001.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/68,SATISFIABLE,43,300.0,300.0,347914,550239969,295.993764279,566372,3285,21,347914,68.07779508729169,128.77491564007198,34.3555821266175,0,10026,1440139,10026,134989,1450672,minimize,6774
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0019.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/62,UNKNOWN,0,301.2,295.71,374340,474155282,296.393309716,380508,134,0,374340,41.11347705294652,66.15426350376663,16.88656568894588,0,1121,157768,1121,32785,275517,minimize,
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0006.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/80,SATISFIABLE,75,300.39,297.86,240001,527871555,298.091904408,461732,3349,0,240001,41.7071137203595,119.34416939929417,23.292394615022438,0,12202,1737763,12202,125938,1327377,minimize,3350
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0016.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/63,SATISFIABLE,38,301.17,288.18,270921,338410144,296.063550163,393553,3240,0,270921,47.733656674824026,87.25497469742102,22.45463437681095,0,3082,450665,3082,34547,390813,minimize,3253
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0002.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/71,UNKNOWN,0,300.0,300.0,318319,672806997,296.460527344,326355,185,1,318319,37.930214658879926,81.37222408967105,20.20309500846635,0,624,77308,624,35553,338307,minimize,
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0000.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/75,UNKNOWN,0,300.5,298.08000000000004,452953,490403246,298.984437195,470351,137,0,452953,28.825284301020194,51.06819471335878,15.20722900609997,0,1144,161040,1144,43874,399966,minimize,
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0004.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/76,UNKNOWN,0,300.55,297.95,392123,537661027,298.999265972,417381,170,1,392123,33.48231039750282,73.51515468360692,22.186403245920285,0,2540,334876,2540,60505,400652,minimize,
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0010.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/74,UNKNOWN,0,301.09,294.59000000000003,491625,652743487,295.366370805,507298,132,0,491625,28.254629036359013,51.835303330790744,14.710319857615053,0,1271,174087,1271,42695,422702,minimize,
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0008.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/66,SATISFIABLE,97,300.3,298.42,323486,573535022,298.537498871,660947,3451,18,323486,40.617488855777374,128.1229079465572,34.76244412432068,0,29261,4123080,29261,504689,4937070,minimize,4044
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0013.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/70,SATISFIABLE,2,300.0,300.0,462896,503677392,296.455026604,542386,3348,0,462896,26.508124935190626,42.687910459368844,12.610216981784244,0,2222,306170,2222,48024,424678,minimize,3433
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0015.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/64,SATISFIABLE,13,301.36,295.45,348671,519346676,296.313623606,427368,3437,6,348671,49.30425816887553,89.88565151675935,21.88878054096842,0,3542,492939,3542,85507,878669,minimize,3418
pumpkin-v0/random/n50_p015/instance_n50_p0.150_0015.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/89,OPTIMAL,15,2.96,0.25,546,360381,0.132047666,5978,441,0,546,15.093406593406593,40.81868131868132,9.098901098901099,1,495,24008,495,1156,9472,minimize,439
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0007.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/65,SATISFIABLE,52,300.29,298.41,319091,552935501,299.029499113,479546,3323,0,319091,53.798054473488754,95.5647793262737,20.40537652268475,0,4533,645641,4533,51493,482784,minimize,3244
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0012.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/73,SATISFIABLE,20,300.64,294.59,495409,670605979,295.203074139,583628,3295,1,495409,29.094408862172468,61.5871007591707,16.857114020940273,0,3885,538517,3885,90390,628091,minimize,3407
pumpkin-v0/random/n150_p015/instance_n150_p0.150_0009.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/79,SATISFIABLE,58,300.42,292.41,283542,436044632,298.320653316,553868,3308,0,283542,39.80950970226633,99.24564614766066,28.248375901982776,0,6204,909703,6204,39995,681424,minimize,3302
pumpkin-v0/random/n50_p015/instance_n50_p0.150_0011.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/92,SATISFIABLE,2,300.0,300.0,45,26626,0.005670758,944,447,0,45,7.6,11.355555555555556,2.7777777777777777,0,0,0,0,5,174,minimize,486
pumpkin-v0/random/n50_p015/instance_n50_p0.150_0009.fzn,experiments/20260612-11.19.59.708870-pumpkin-v0/81,OPTIMAL,7,12.54,6.56,26536,13221398,6.463409773,31464,440,0,26536,17.531956587277662,35.095719023213746,11.851032559541755,1,943,35320,943,18553,174033,minimize,17945
