instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsThatFoundConflict,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberPropagationsThatPruned,circuitNumberPropagationsTotal,allDifferentNumberPropagationsTotal,allDifferentNumberPropagationsThatFoundConflict,allDifferentNumberPropagationsThatPruned,allDifferentNumberTotalValuesPruned,allDifferentNumberTotalHallSetSizeConflict,allDifferentNumberNumberOfConflicts,allDifferentNumberMaxHallSetSizeConflict,allDifferentNumberTotalPruningHallSetSize,allDifferentNumberNumberOfPruningExplanations,allDifferentNumberMaxPruningHallSetSize,allDifferentNumberTotalFixedEdgesAtConflict,allDifferentNumberTotalVarsInvolvedInPruning,allDifferentNumberMaxValuesPrunedFromSingleVar,allDifferentNumberTotalSccSizeAtPruning,allDifferentNumberNumberOfSccPruningCalls,type,best_sol
pumpkin-v2/random/n150_p015/instance_n150_p0.150_0000.fzn,experiments/20260612-11.49.51.744794-pumpkin-v2/15,OPTIMAL,148,5.8,5.45,231,1187062,4.480222722,315664,3393,0,231,62.294372294372295,131.42857142857142,49.722943722943725,1,9294,1358769,9294,31743,1362876,2695613,2675,1359877,14371078,6694,2675,886,37357056,14371078,15426,393976,13863138,2162,8944445,1359877,minimize,3394
pumpkin-v2/random/n150_p015/instance_n150_p0.150_0014.fzn,experiments/20260612-11.49.51.744794-pumpkin-v2/7,OPTIMAL,75,3.46,2.51,62,549943,2.031557363,192474,3259,0,62,72.56451612903226,102.53225806451613,60.29032258064516,1,1647,242499,1647,6242,369298,732304,410,367944,4092637,1012,410,300,7696782,4092637,5801,60518,3998180,777,1350893,367944,minimize,3259
pumpkin-v2/random/n150_p015/instance_n150_p0.150_0013.fzn,experiments/20260612-11.49.51.744794-pumpkin-v2/10,OPTIMAL,145,7.24,6.53,166,1146642,5.25047152,320513,3343,0,166,73.59638554216868,125.98795180722891,67.3012048192771,1,8238,1216052,8238,28810,1339116,2646643,2138,1336966,13924564,5831,2138,975,38763012,13924564,14231,313697,13346271,1910,7747235,1336966,minimize,3343
pumpkin-v2/random/n150_p015/instance_n150_p0.150_0017.fzn,experiments/20260612-11.49.51.744794-pumpkin-v2/9,OPTIMAL,143,7.28,6.43,216,1127785,5.171854348,319921,3301,0,216,59.583333333333336,124.48148148148148,50.93518518518518,1,7550,1100515,7550,32388,1235664,2439246,2160,1231882,14131156,9070,2160,979,42559969,14131156,12608,314583,13482161,2083,8219343,1231882,minimize,3301
pumpkin-v2/random/n150_p015/instance_n150_p0.150_0002.fzn,experiments/20260612-11.49.51.744794-pumpkin-v2/11,OPTIMAL,119,5.82,5.19,130,917293,4.153627478,271377,3350,0,130,65.12307692307692,99.3076923076923,55.39230769230769,1,6329,930242,6329,19582,905538,1788901,1505,901909,9494315,5487,1505,1224,19436925,9494315,9039,218170,9155017,1318,4042173,901909,minimize,3352
pumpkin-v2/random/n150_p015/instance_n150_p0.150_0009.fzn,experiments/20260612-11.49.51.744794-pumpkin-v2/19,OPTIMAL,119,5.77,5.56,137,919149,4.553057658,268890,3310,0,137,75.75912408759125,115.22627737226277,59.62043795620438,1,6641,970142,6641,16501,917937,1819000,1560,915740,10015954,3530,1560,472,20659522,10015954,8890,232027,9736149,1113,4290435,915740,minimize,3281
pumpkin-v2/random/n150_p015/instance_n150_p0.150_0010.fzn,experiments/20260612-11.49.51.744794-pumpkin-v2/14,OPTIMAL,143,5.37,5.050000000000001,233,1125269,4.215089013,300920,3383,0,233,64.30042918454936,122.23175965665236,50.42918454935622,1,13177,1914811,13177,39796,1220170,2391721,3834,1216764,13825262,9545,3834,1015,42599230,13825262,13927,564633,13193952,1778,9081297,1216764,minimize,3383
pumpkin-v2/random/n150_p015/instance_n150_p0.150_0011.fzn,experiments/20260612-11.49.51.744794-pumpkin-v2/17,OPTIMAL,149,7.4,7.069999999999999,246,1196664,5.752758886,311690,3406,0,246,61.170731707317074,119.76422764227642,47.40650406504065,1,14483,2099375,14483,35464,1357034,2671581,2815,1354043,14474772,9974,2815,2410,41007473,14474772,13243,405263,13803504,1818,10507575,1354043,minimize,3407
pumpkin-v2/random/n150_p015/instance_n150_p0.150_0006.fzn,experiments/20260612-11.49.51.744794-pumpkin-v2/20,OPTIMAL,173,8.17,7.8100000000000005,260,1374666,6.35943339,347519,3349,0,260,58.7,103.61923076923077,48.761538461538464,1,17924,2592136,17924,50251,1814620,3575024,3828,1808593,19455983,9811,3828,1093,49215724,19455983,14467,562775,18649114,2060,8360391,1808593,minimize,3350
pumpkin-v2/random/n150_p015/instance_n150_p0.150_0003.fzn,experiments/20260612-11.49.51.744794-pumpkin-v2/12,OPTIMAL,188,8.41,7.880000000000001,278,1477647,6.397880618,368701,3293,0,278,59.406474820143885,141.5107913669065,48.697841726618705,1,16186,2356934,16186,47211,2172222,4293297,4416,2166699,22141763,14953,4416,2216,66388694,22141763,18947,644709,21218026,2340,16493055,2166699,minimize,3295
